State Name,County,Census_Tract,Population,Median Age,Median Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Time spent commuting (minutes),"Number of Employed, age 16+",Unemployment Count,Number of persons age 25+ graduated high school
 Maryland, Baltimore city, 2006,2311.0,32.9,39159.0,19781.0,309.0,13.4,8.4,,1009.0,193.0,557.0
 Maryland, Baltimore city, 2007.01,4797.0,35.7,39208.0,20051.0,1030.0,21.5,7.2,,1876.0,346.0,1024.0
 Maryland, Baltimore city, 2708.03,6367.0,43.3,50686.0,29274.0,331.0,5.2,4.9,,2874.0,310.0,1308.0
 Maryland, Baltimore city, 2709.01,4525.0,34.3,53120.0,33585.0,289.0,6.4,3.8,33125.0,2396.0,170.0,1341.0
 Maryland, Baltimore city, 2714,4015.0,38.5,133333.0,76059.0,234.0,5.8,1.2,,1995.0,48.0,132.0
 Maryland, Baltimore city, 2716,4066.0,38.8,31361.0,19067.0,1135.0,27.9,8.4,,1316.0,341.0,1217.0
 Maryland, Baltimore city, 2803.02,2538.0,31.8,44423.0,24760.0,519.0,20.4,4.9,,1179.0,124.0,496.0
 Maryland, Baltimore city, 2007.02,1026.0,42.8,44830.0,20681.0,257.0,25.0,2.1,,465.0,22.0,233.0
 Maryland, Baltimore city, 2301,1872.0,29.0,74578.0,43902.0,268.0,14.3,0.2,,1185.0,3.0,148.0
 Maryland, Baltimore city, 2502.05,4008.0,30.8,41184.0,21159.0,792.0,19.8,4.7,,1841.0,187.0,585.0
 Maryland, Baltimore city, 2704.02,3792.0,35.9,83160.0,28919.0,198.0,5.2,2.8,,1733.0,105.0,388.0
 Maryland, Baltimore city, 2504.02,4614.0,32.7,37451.0,20522.0,1559.0,33.8,6.3,,1713.0,289.0,1073.0
 Maryland, Baltimore city, 2605.01,5186.0,37.5,57639.0,24935.0,407.0,7.8,0.8,,2570.0,44.0,863.0
 Maryland, Baltimore city, 2611,1813.0,32.1,133152.0,70157.0,123.0,6.8,4.1,,1399.0,75.0,140.0
 Maryland, Baltimore city, 2705.02,4229.0,42.4,75197.0,42730.0,387.0,9.2,3.8,,2368.0,162.0,734.0
 Maryland, Baltimore city, 2707.03,2996.0,44.5,67895.0,35171.0,232.0,7.7,2.9,,1794.0,87.0,520.0
 Maryland, Baltimore city, 2710.01,2515.0,36.1,40039.0,20433.0,436.0,17.3,10.1,,910.0,254.0,525.0
 Maryland, Baltimore city, 1202.01,2227.0,31.4,87500.0,49543.0,306.0,13.7,2.4,,1366.0,53.0,67.0
 Maryland, Baltimore city, 2720.04,3924.0,35.6,49603.0,31763.0,501.0,12.8,0.9,,2017.0,34.0,619.0
 Maryland, Baltimore city, 1202.02,5272.0,21.0,42674.0,19707.0,590.0,11.2,3.7,,2155.0,196.0,114.0
 Maryland, Baltimore city, 2720.05,3378.0,36.3,59883.0,36343.0,478.0,14.2,4.1,,1459.0,139.0,348.0
 Maryland, Baltimore city, 2720.06,3488.0,41.8,30878.0,26152.0,511.0,14.7,1.9,,1262.0,66.0,597.0
 Maryland, Baltimore city, 2720.07,4747.0,34.3,39748.0,23451.0,1296.0,27.3,5.0,,1871.0,235.0,714.0
 Maryland, Baltimore city, 2805,2173.0,40.5,13289.0,11192.0,1264.0,58.2,5.1,,519.0,110.0,437.0
 Maryland, Baltimore city, 201,1636.0,33.8,89000.0,55597.0,133.0,8.1,2.4,,1155.0,39.0,79.0
 Maryland, Baltimore city, 601,2653.0,32.3,63421.0,32649.0,947.0,35.7,2.9,,1398.0,76.0,335.0
 Maryland, Baltimore city, 902,2756.0,48.9,71189.0,38451.0,160.0,5.8,4.7,,1382.0,129.0,482.0
 Maryland, Baltimore city, 906,3010.0,31.2,35313.0,18917.0,900.0,29.9,10.4,,1111.0,314.0,468.0
 Maryland, Baltimore city, 103,2380.0,30.3,142368.0,73265.0,112.0,4.7,0.4,,1867.0,9.0,109.0
 Maryland, Baltimore city, 803.01,1759.0,36.7,31250.0,17093.0,499.0,28.4,7.3,,563.0,128.0,380.0
 Maryland, Baltimore city, 1101,3177.0,29.7,55796.0,47902.0,506.0,15.9,1.3,42510.0,2679.0,42.0,67.0
 Maryland, Baltimore city, 903,4476.0,42.0,49722.0,28304.0,1022.0,22.8,3.9,,2036.0,176.0,480.0
 Maryland, Baltimore city, 1003,3326.0,31.8,-666666666.0,8327.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,487.0
 Maryland, Baltimore city, 1204,1842.0,31.4,38445.0,28189.0,596.0,32.4,4.0,,862.0,74.0,332.0
 Maryland, Baltimore city, 1306,3614.0,34.7,103911.0,56119.0,399.0,11.0,1.4,44855.0,2681.0,52.0,111.0
 Maryland, Baltimore city, 1308.04,1993.0,32.7,67500.0,43449.0,234.0,11.7,2.9,,1389.0,58.0,186.0
 Maryland, Baltimore city, 1602,2479.0,26.2,22881.0,15600.0,1230.0,49.6,6.9,,828.0,170.0,563.0
 Maryland, Baltimore city, 1604,1937.0,32.7,23417.0,12725.0,961.0,49.6,5.9,,593.0,114.0,315.0
 Maryland, Baltimore city, 1607,4543.0,30.8,37870.0,16176.0,1549.0,34.1,11.4,,1593.0,520.0,1095.0
 Maryland, Baltimore city, 1702,2705.0,28.7,13841.0,11230.0,1337.0,49.4,3.5,,811.0,96.0,597.0
 Maryland, Baltimore city, 1801,2185.0,26.2,15195.0,9482.0,1259.0,57.6,6.7,,525.0,146.0,567.0
 Maryland, Baltimore city, 1803,1732.0,31.4,50761.0,34592.0,421.0,24.3,4.8,,1078.0,83.0,357.0
