Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH
Belair Rd,271501,24510271501,"4,162",$100167.00,$54731.00,298,720.00%,270.00%,2247.0,112.0,174.0,819.0,38.8,3278.0,604.0,81.0,239.0,146.0,3027.0,1117.0,631.0,1058.0,2424.0,680.0,3107.0
E Monument St,271503,24510271503,850,$71875.00,$79787.00,45,530.00%,180.00%,405.0,15.0,57.0,272.0,64.0,738.0,34.0,24.0,29.0,35.0,728.0,544.0,100.0,25.0,416.0,409.0,825.0
Park Heights,271600,24510271600,"4,310",$28133.00,$17866.00,"1,447",3360.00%,870.00%,1246.0,374.0,1253.0,210.0,38.6,117.0,4115.0,22.0,40.0,56.0,1752.0,551.0,955.0,844.0,2686.0,780.0,3292.0
Pimlico,271700,24510271700,"4,813",$41891.00,$21920.00,868,1800.00%,800.00%,1686.0,387.0,1366.0,213.0,50.6,221.0,4523.0,24.0,20.0,45.0,2587.0,849.0,900.0,675.0,2795.0,1343.0,3860.0
Pimlico,271801,24510271801,"2,902",$30462.00,$22668.00,914,3150.00%,880.00%,1081.0,256.0,721.0,112.0,46.1,37.0,2738.0,49.0,41.0,11.0,1663.0,661.0,571.0,435.0,1735.0,732.0,2483.0
Pimlico,271802,24510271802,"2,567",$29495.00,$14449.00,929,3620.00%,320.00%,869.0,81.0,738.0,108.0,41.9,15.0,2492.0,41.0,23.0,0.0,846.0,374.0,539.0,597.0,1564.0,406.0,2004.0
Pimlico,271900,24510271900,"3,815",$51736.00,$32143.00,612,1600.00%,380.00%,1519.0,146.0,717.0,689.0,47.1,950.0,2802.0,10.0,0.0,44.0,2835.0,1036.0,423.0,718.0,2196.0,901.0,3071.0
Penn Ave,280101,24510280101,"3,869",$47440.00,$24073.00,"1,086",2810.00%,560.00%,1662.0,215.0,975.0,268.0,37.5,266.0,3496.0,57.0,141.0,19.0,1644.0,627.0,676.0,973.0,2495.0,401.0,2946.0
Highlandtown,280102,24510280102,"6,177",$55243.00,$24191.00,869,1410.00%,390.00%,2126.0,241.0,1280.0,917.0,51.2,162.0,6015.0,0.0,93.0,0.0,4187.0,1535.0,888.0,1173.0,3562.0,1442.0,4829.0
Waverly,280302,24510280302,"2,464",$43438.00,$25487.00,438,1780.00%,450.00%,1207.0,112.0,584.0,187.0,31.9,96.0,2193.0,168.0,14.0,7.0,869.0,309.0,690.0,619.0,1578.0,267.0,1913.0
Pimlico,280401,24510280401,"3,479",$46139.00,$28736.00,456,1310.00%,310.00%,1608.0,107.0,557.0,515.0,46.0,590.0,2722.0,132.0,62.0,16.0,2222.0,923.0,596.0,676.0,2220.0,583.0,2853.0
Pigtown,280402,24510280402,"1,634",$48276.00,$22145.00,219,1340.00%,690.00%,752.0,113.0,392.0,118.0,41.6,2.0,1567.0,1.0,24.0,0.0,1111.0,446.0,158.0,256.0,1057.0,321.0,1393.0
Belair Rd,280403,24510280403,"5,264",$62945.00,$37610.00,294,560.00%,390.00%,2801.0,203.0,874.0,377.0,35.1,1293.0,3848.0,56.0,136.0,37.0,2310.0,881.0,1259.0,1199.0,3409.0,656.0,4073.0
E Monument St,280404,24510280404,"2,812",$37292.00,$21545.00,737,2620.00%,450.00%,1200.0,127.0,706.0,106.0,31.9,107.0,2551.0,154.0,114.0,0.0,1244.0,390.0,655.0,654.0,1746.0,412.0,1966.0
