Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH
Penn Ave,160200,24510160200,"2,189",$26792.00,$16662.00,875,4000.00%,510.00%,732.0,112.0,527.0,37.0,28.1,16.0,2159.0,9.0,25.0,0.0,799.0,294.0,531.0,774.0,1154.0,261.0,1476.0
Penn Ave,160400,24510160400,"2,331",$26552.00,$12758.00,"1,096",4700.00%,490.00%,764.0,114.0,460.0,23.0,30.5,33.0,2259.0,12.0,0.0,4.0,683.0,277.0,393.0,806.0,1261.0,264.0,1570.0
Pimlico,160600,24510160600,"3,403",$40038.00,$20860.00,"1,003",2950.00%,220.00%,1308.0,75.0,873.0,194.0,38.9,73.0,3190.0,31.0,69.0,17.0,1543.0,472.0,648.0,832.0,2198.0,373.0,2586.0
Pigtown,160700,24510160700,"4,324",$36346.00,$17660.00,"1,464",3390.00%,670.00%,1736.0,290.0,1065.0,234.0,31.8,28.0,4278.0,18.0,44.0,0.0,1718.0,640.0,866.0,1092.0,2758.0,474.0,3288.0
Waverly,170100,24510170100,"1,634",$30702.00,$26136.00,380,2330.00%,250.00%,903.0,41.0,152.0,234.0,34.7,496.0,1088.0,13.0,40.0,16.0,206.0,118.0,808.0,214.0,1241.0,179.0,1370.0
Penn Ave,170200,24510170200,"2,971",$13643.00,$10173.00,"1,547",5210.00%,440.00%,840.0,132.0,586.0,93.0,27.9,196.0,2654.0,72.0,7.0,49.0,265.0,57.0,1288.0,988.0,1608.0,375.0,2167.0
Penn Ave,170300,24510170300,"1,699",$20880.00,$23575.00,605,3560.00%,510.00%,710.0,87.0,192.0,141.0,38.1,27.0,1568.0,42.0,42.0,45.0,561.0,274.0,515.0,337.0,1110.0,252.0,1380.0
Greektown,180100,24510180100,"2,025",$14583.00,$10228.00,"1,102",5440.00%,780.00%,588.0,157.0,458.0,14.0,28.2,7.0,1991.0,0.0,20.0,0.0,180.0,92.0,859.0,676.0,1177.0,172.0,1402.0
Penn Ave,180200,24510180200,948,$20938.00,$20325.00,298,3140.00%,620.00%,368.0,59.0,138.0,70.0,39.9,108.0,816.0,11.0,33.0,13.0,303.0,96.0,269.0,160.0,592.0,196.0,655.0
Pigtown,180300,24510180300,"1,525",$37273.00,$34495.00,471,3090.00%,320.00%,1020.0,49.0,280.0,220.0,30.3,589.0,836.0,63.0,55.0,37.0,540.0,279.0,493.0,152.0,1348.0,25.0,1375.0
North Ave,190300,24510190300,"2,502",$23750.00,$12517.00,"1,027",4100.00%,550.00%,711.0,138.0,457.0,93.0,29.1,613.0,1482.0,10.0,294.0,102.0,480.0,203.0,615.0,780.0,1519.0,203.0,1731.0
E Monument St,200300,24510200300,"1,517",$23542.00,$13010.00,646,4260.00%,820.00%,368.0,124.0,257.0,56.0,29.7,366.0,907.0,130.0,53.0,23.0,364.0,118.0,379.0,491.0,931.0,95.0,1075.0
Penn Ave,200600,24510200600,"2,292",$31991.00,$18070.00,379,1650.00%,930.00%,932.0,214.0,569.0,58.0,34.3,645.0,1477.0,150.0,87.0,0.0,1083.0,446.0,355.0,507.0,1500.0,285.0,1825.0
North Ave,200701,24510200701,"4,905",$36164.00,$18691.00,"1,225",2500.00%,1090.00%,1642.0,534.0,1027.0,118.0,35.9,108.0,4775.0,16.0,96.0,0.0,2111.0,870.0,938.0,1134.0,2948.0,823.0,3820.0
Irvington,200702,24510200702,"1,089",$42179.00,$17836.00,350,3210.00%,230.00%,458.0,25.0,270.0,39.0,46.0,21.0,1057.0,11.0,0.0,0.0,678.0,267.0,130.0,275.0,633.0,181.0,817.0
Irvington,200800,24510200800,"2,128",$40789.00,$19553.00,564,2650.00%,400.00%,794.0,85.0,380.0,102.0,37.9,186.0,1841.0,49.0,70.0,0.0,1210.0,448.0,342.0,551.0,1328.0,249.0,1615.0
Pigtown,210100,24510210100,"2,532",$63558.00,$30254.00,433,1710.00%,810.00%,1442.0,206.0,275.0,435.0,31.1,743.0,1683.0,23.0,38.0,70.0,787.0,398.0,569.0,511.0,1862.0,159.0,2097.0
Pigtown,210200,24510210200,"3,493",$41037.00,$27955.00,"1,043",2990.00%,610.00%,1617.0,214.0,533.0,451.0,33.8,1277.0,1674.0,237.0,299.0,103.0,1736.0,677.0,659.0,751.0,2432.0,310.0,2782.0
Park Heights,230100,24510230100,"1,828",$71287.00,$43238.00,290,1590.00%,310.00%,1111.0,56.0,183.0,449.0,30.1,1210.0,540.0,13.0,60.0,39.0,735.0,315.0,486.0,302.0,1431.0,95.0,1505.0
Hamilton Lauraville,230200,24510230200,"2,044",$109286.00,$61252.00,183,900.00%,90.00%,1484.0,18.0,82.0,607.0,30.8,1773.0,137.0,69.0,154.0,65.0,972.0,465.0,489.0,191.0,1653.0,200.0,1867.0
Penn Ave,240100,24510240100,"3,289",$129508.00,$80899.00,135,410.00%,130.00%,2338.0,42.0,132.0,1102.0,33.6,3005.0,90.0,17.0,87.0,99.0,2138.0,1027.0,586.0,484.0,2615.0,190.0,2782.0
Irvington,240400,24510240400,"2,669",$103250.00,$51469.00,55,210.00%,160.00%,1840.0,42.0,275.0,820.0,30.8,2580.0,11.0,21.0,110.0,21.0,1536.0,695.0,444.0,308.0,2159.0,202.0,2345.0
Penn Ave,250102,24510250102,"3,236",$42922.00,$21193.00,522,1610.00%,580.00%,1728.0,189.0,449.0,120.0,33.4,199.0,2990.0,33.0,78.0,14.0,1278.0,519.0,712.0,772.0,2114.0,350.0,2698.0
Highlandtown,250103,24510250103,"3,411",$39412.00,$25611.00,661,1940.00%,290.00%,1477.0,99.0,861.0,201.0,45.4,1959.0,1133.0,121.0,115.0,145.0,1793.0,739.0,815.0,499.0,2125.0,787.0,2653.0
Hampden,250203,24510250203,"1,978",$37639.00,$19929.00,377,1910.00%,230.00%,754.0,45.0,409.0,138.0,32.6,265.0,1602.0,0.0,81.0,60.0,485.0,226.0,498.0,621.0,1119.0,238.0,1417.0
Pigtown,250301,24510250301,"2,355",$23452.00,$15192.00,931,3950.00%,620.00%,640.0,146.0,465.0,39.0,28.5,293.0,2062.0,0.0,146.0,0.0,643.0,254.0,564.0,838.0,1304.0,213.0,1569.0
Brooklyn,250401,24510250401,"3,605",$39747.00,$21435.00,935,2590.00%,500.00%,1457.0,181.0,763.0,206.0,35.3,2089.0,937.0,124.0,637.0,278.0,1628.0,455.0,702.0,839.0,2447.0,319.0,2809.0
Brooklyn,250402,24510250402,"4,451",$50526.00,$22112.00,"1,175",2640.00%,520.00%,1869.0,233.0,1088.0,184.0,33.3,1683.0,1994.0,314.0,631.0,0.0,1808.0,607.0,929.0,1261.0,2956.0,234.0,3274.0
Pimlico,260102,24510260102,"4,625",$55931.00,$24767.00,354,770.00%,410.00%,2171.0,191.0,1157.0,303.0,40.0,517.0,4034.0,23.0,76.0,51.0,3569.0,1325.0,288.0,1015.0,3029.0,581.0,3734.0
