Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Pimlico,271700,24510271700,"4,624",$39432.00,$24618.00,707,1530.00%,960.00%,1556.0,444.0,1224.0,248.0,52.0,249.0,4234.0,63.0,21.0,61.0,2247.0,802.0,1001.0,601.0,2602.0,1421.0
Pimlico,271801,24510271801,"2,700",$26817.00,$22357.00,986,3650.00%,940.00%,986.0,254.0,547.0,122.0,47.9,39.0,2567.0,38.0,19.0,10.0,1555.0,663.0,580.0,422.0,1598.0,680.0
Pimlico,271802,24510271802,"2,290",$33156.00,$16899.00,652,2850.00%,350.00%,844.0,80.0,641.0,145.0,43.8,15.0,2211.0,45.0,21.0,0.0,1009.0,425.0,406.0,524.0,1320.0,446.0
Pimlico,271900,24510271900,"3,794",$51938.00,$34173.00,643,1690.00%,520.00%,1505.0,196.0,706.0,717.0,49.7,812.0,2914.0,11.0,0.0,48.0,2687.0,1045.0,470.0,597.0,2206.0,991.0
Penn Ave,280101,24510280101,"3,401",$45855.00,$21093.00,987,2900.00%,570.00%,1473.0,195.0,635.0,240.0,37.3,206.0,3139.0,35.0,124.0,0.0,1314.0,580.0,657.0,822.0,2172.0,407.0
Highlandtown,280102,24510280102,"6,231",$50798.00,$25022.00,"1,279",2050.00%,470.00%,2170.0,291.0,1114.0,672.0,49.7,161.0,6070.0,0.0,113.0,0.0,4015.0,1577.0,957.0,1065.0,3886.0,1280.0
Waverly,280302,24510280302,"2,538",$44423.00,$24760.00,519,2040.00%,490.00%,1179.0,124.0,496.0,188.0,31.8,107.0,2201.0,209.0,15.0,12.0,834.0,314.0,708.0,606.0,1677.0,255.0
Pimlico,280401,24510280401,"3,269",$46493.00,$31029.00,350,1070.00%,200.00%,1635.0,65.0,571.0,496.0,48.5,473.0,2669.0,111.0,23.0,16.0,2351.0,972.0,501.0,583.0,2099.0,587.0
Pigtown,280402,24510280402,"1,632",$48750.00,$23395.00,262,1610.00%,520.00%,662.0,85.0,369.0,185.0,42.4,2.0,1601.0,1.0,28.0,0.0,1269.0,512.0,105.0,316.0,967.0,349.0
Belair Rd,280403,24510280403,"5,468",$57973.00,$34384.00,263,480.00%,170.00%,3032.0,95.0,783.0,372.0,36.4,1264.0,4033.0,100.0,63.0,32.0,2692.0,898.0,1307.0,1247.0,3677.0,544.0
E Monument St,280404,24510280404,"2,631",$39233.00,$23113.00,613,2330.00%,370.00%,1058.0,97.0,609.0,175.0,32.2,123.0,2356.0,134.0,107.0,0.0,1153.0,442.0,655.0,597.0,1573.0,461.0
