Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH,county
060300,24510060300,1865.0,68088.0,36889.0,321.0,17.2,3.1,1061.0,58.0,159.0,281.0,31.9,910.0,756.0,106.0,207.0,82.0,828.0,386.0,364.0,415.0,1309.0,141.0,1463.0,510
060400,24510060400,1376.0,55368.0,41278.0,197.0,14.3,1.1,711.0,15.0,176.0,252.0,37.0,447.0,764.0,53.0,82.0,105.0,385.0,198.0,563.0,189.0,999.0,188.0,1194.0,510
070100,24510070100,2565.0,39602.0,15387.0,939.0,36.6,5.7,806.0,145.0,490.0,92.0,27.6,184.0,2168.0,15.0,363.0,0.0,857.0,305.0,444.0,886.0,1421.0,258.0,1783.0,510
070200,24510070200,3028.0,32000.0,17596.0,1233.0,40.7,10.3,1000.0,313.0,585.0,43.0,29.9,92.0,2923.0,13.0,151.0,0.0,824.0,290.0,700.0,800.0,1931.0,297.0,2294.0,510
070300,24510070300,856.0,29261.0,18544.0,367.0,42.9,5.4,309.0,46.0,252.0,15.0,36.8,96.0,660.0,0.0,135.0,0.0,285.0,115.0,192.0,181.0,590.0,85.0,700.0,510
070400,24510070400,1546.0,18977.0,15621.0,687.0,44.4,5.4,597.0,83.0,218.0,226.0,28.7,117.0,1291.0,9.0,29.0,129.0,120.0,45.0,710.0,357.0,997.0,192.0,1203.0,510
080101,24510080101,3976.0,63542.0,33522.0,526.0,13.2,4.0,1784.0,160.0,887.0,495.0,35.2,1266.0,2454.0,200.0,71.0,30.0,2291.0,834.0,455.0,1142.0,2544.0,290.0,2975.0,510
080102,24510080102,2105.0,33711.0,15454.0,770.0,36.6,7.6,771.0,160.0,588.0,71.0,37.2,61.0,2025.0,7.0,5.0,12.0,851.0,328.0,398.0,538.0,1410.0,157.0,1632.0,510
080200,24510080200,1274.0,29485.0,17760.0,331.0,26.0,7.3,436.0,93.0,270.0,34.0,40.5,57.0,1217.0,0.0,0.0,0.0,646.0,210.0,297.0,270.0,765.0,239.0,1048.0,510
080301,24510080301,1696.0,37574.0,19092.0,448.0,26.4,9.8,587.0,167.0,399.0,40.0,41.8,39.0,1583.0,0.0,94.0,9.0,684.0,275.0,306.0,403.0,1046.0,247.0,1321.0,510
080302,24510080302,2715.0,32167.0,20630.0,953.0,35.1,5.3,1055.0,144.0,551.0,169.0,47.9,0.0,2612.0,103.0,32.0,0.0,1530.0,678.0,406.0,618.0,1422.0,675.0,2213.0,510
080400,24510080400,1280.0,30096.0,15341.0,574.0,44.8,10.0,435.0,128.0,275.0,111.0,36.6,230.0,1037.0,13.0,95.0,0.0,346.0,134.0,267.0,344.0,810.0,126.0,913.0,510
080500,24510080500,1479.0,27939.0,20655.0,433.0,29.3,9.1,618.0,134.0,282.0,35.0,39.0,5.0,1441.0,8.0,0.0,25.0,671.0,265.0,262.0,356.0,935.0,188.0,1230.0,510
080600,24510080600,2119.0,34688.0,17730.0,716.0,33.8,6.2,731.0,132.0,599.0,167.0,44.0,174.0,1916.0,22.0,0.0,0.0,878.0,383.0,386.0,470.0,1345.0,304.0,1654.0,510
080700,24510080700,746.0,35282.0,19057.0,177.0,23.7,12.1,269.0,90.0,179.0,77.0,46.6,7.0,728.0,7.0,1.0,3.0,383.0,176.0,165.0,121.0,495.0,130.0,648.0,510
080800,24510080800,1546.0,38304.0,15394.0,564.0,36.5,5.2,413.0,81.0,208.0,53.0,17.8,80.0,1407.0,7.0,65.0,0.0,336.0,108.0,351.0,784.0,711.0,51.0,878.0,510
090100,24510090100,4136.0,45962.0,24731.0,943.0,22.8,5.7,1949.0,234.0,981.0,230.0,42.2,539.0,3490.0,91.0,100.0,5.0,2378.0,915.0,713.0,773.0,2672.0,691.0,3488.0,510
090200,24510090200,2903.0,70500.0,38183.0,223.0,7.7,3.6,1524.0,104.0,483.0,470.0,47.1,531.0,2251.0,84.0,32.0,10.0,2572.0,1047.0,137.0,366.0,1951.0,586.0,2545.0,510
090300,24510090300,4442.0,42206.0,26426.0,1125.0,25.3,6.6,1882.0,291.0,550.0,671.0,41.1,1007.0,3325.0,68.0,149.0,31.0,2135.0,925.0,957.0,821.0,2759.0,862.0,3730.0,510
090400,24510090400,1784.0,30125.0,13906.0,674.0,37.8,4.0,742.0,71.0,399.0,83.0,32.6,201.0,1448.0,73.0,182.0,2.0,363.0,145.0,514.0,539.0,1127.0,118.0,1292.0,510
090500,24510090500,1865.0,42296.0,21747.0,352.0,18.9,4.5,841.0,84.0,508.0,132.0,37.3,368.0,1264.0,182.0,9.0,51.0,1070.0,360.0,320.0,438.0,1249.0,178.0,1437.0,510
090600,24510090600,3117.0,45306.0,18833.0,792.0,25.4,12.4,1106.0,388.0,555.0,79.0,33.1,303.0,2784.0,1.0,5.0,28.0,1801.0,587.0,298.0,764.0,1858.0,495.0,2393.0,510
090700,24510090700,3032.0,27440.0,16202.0,1000.0,33.0,7.5,1038.0,227.0,868.0,225.0,40.5,57.0,2872.0,43.0,87.0,24.0,939.0,483.0,610.0,638.0,1898.0,496.0,2530.0,510
090800,24510090800,2902.0,35808.0,16305.0,938.0,32.3,14.2,854.0,411.0,510.0,140.0,43.6,51.0,2702.0,138.0,0.0,11.0,1752.0,513.0,433.0,484.0,1897.0,521.0,2489.0,510
090900,24510090900,2466.0,23750.0,14472.0,459.0,18.6,10.7,665.0,264.0,724.0,88.0,34.3,139.0,2304.0,0.0,0.0,0.0,609.0,201.0,721.0,786.0,1338.0,342.0,1694.0,510
100100,24510100100,2233.0,25215.0,13006.0,1092.0,48.9,2.9,706.0,64.0,625.0,146.0,34.6,38.0,2162.0,1.0,1.0,32.0,594.0,239.0,611.0,535.0,1403.0,295.0,1720.0,510
100200,24510100200,2722.0,13074.0,10882.0,1135.0,41.7,4.3,637.0,116.0,311.0,48.0,31.1,75.0,2621.0,18.0,29.0,0.0,191.0,102.0,952.0,682.0,1834.0,206.0,1720.0,510
100300,24510100300,3676.0,-666666666.0,10807.0,0.0,0.0,0.0,0.0,0.0,521.0,39.0,31.6,681.0,2850.0,84.0,200.0,15.0,0.0,0.0,0.0,0.0,3658.0,18.0,0.0,510
110100,24510110100,3141.0,55216.0,45165.0,403.0,12.8,1.3,2686.0,41.0,72.0,1211.0,29.8,1785.0,795.0,158.0,171.0,372.0,526.0,316.0,1683.0,62.0,2952.0,127.0,2966.0,510
110200,24510110200,5706.0,45406.0,46233.0,1072.0,18.8,2.6,3854.0,149.0,268.0,1479.0,32.4,3533.0,1143.0,452.0,319.0,373.0,1044.0,522.0,3213.0,157.0,4647.0,902.0,5314.0,510
120100,24510120100,4643.0,65313.0,64313.0,884.0,19.0,4.0,2169.0,188.0,227.0,938.0,40.2,2798.0,438.0,242.0,275.0,1056.0,2498.0,1183.0,1157.0,508.0,2959.0,1176.0,4191.0,510
120201,24510120201,2217.0,82917.0,49593.0,345.0,15.6,2.8,1347.0,62.0,68.0,547.0,31.2,1603.0,404.0,102.0,75.0,95.0,1106.0,490.0,353.0,289.0,1731.0,197.0,1953.0,510
120202,24510120202,5975.0,36435.0,16907.0,1078.0,18.0,2.9,2271.0,173.0,60.0,804.0,21.5,3361.0,633.0,402.0,444.0,1485.0,673.0,313.0,1325.0,159.0,5626.0,190.0,2913.0,510
120300,24510120300,4220.0,52857.0,30352.0,1095.0,25.9,5.3,2290.0,223.0,508.0,772.0,33.0,1547.0,2139.0,293.0,126.0,187.0,1797.0,636.0,994.0,722.0,3252.0,246.0,3471.0,510
120400,24510120400,1743.0,38507.0,27496.0,630.0,36.1,3.9,756.0,68.0,291.0,193.0,31.3,434.0,1283.0,0.0,60.0,12.0,448.0,190.0,477.0,415.0,1210.0,118.0,1341.0,510
120500,24510120500,2275.0,60750.0,40706.0,481.0,21.1,5.0,1407.0,114.0,262.0,316.0,31.8,793.0,1252.0,96.0,84.0,109.0,598.0,268.0,676.0,315.0,1779.0,181.0,1893.0,510
120600,24510120600,2691.0,29036.0,25979.0,857.0,31.8,3.4,1321.0,92.0,364.0,478.0,45.1,1237.0,1224.0,14.0,277.0,216.0,297.0,165.0,1416.0,196.0,1981.0,514.0,2203.0,510
120700,24510120700,2259.0,65068.0,35757.0,183.0,8.1,8.1,1399.0,183.0,498.0,429.0,34.9,1633.0,471.0,47.0,159.0,64.0,1186.0,580.0,458.0,250.0,1868.0,141.0,2018.0,510
130100,24510130100,2728.0,24639.0,25898.0,980.0,35.9,4.2,1181.0,114.0,525.0,324.0,39.7,441.0,2145.0,79.0,64.0,1.0,773.0,300.0,1159.0,411.0,1978.0,339.0,2333.0,510
130200,24510130200,2723.0,46690.0,28661.0,485.0,17.8,3.0,1336.0,83.0,410.0,305.0,39.6,424.0,2196.0,48.0,9.0,29.0,1114.0,400.0,697.0,578.0,1797.0,348.0,2215.0,510
130300,24510130300,2447.0,35952.0,19624.0,882.0,36.0,4.5,796.0,111.0,479.0,187.0,34.3,117.0,2292.0,0.0,13.0,38.0,1040.0,359.0,447.0,788.0,1382.0,277.0,1720.0,510
130400,24510130400,2056.0,28750.0,18544.0,734.0,35.7,6.9,737.0,141.0,561.0,114.0,39.2,139.0,1817.0,0.0,82.0,7.0,847.0,311.0,466.0,472.0,1394.0,190.0,1604.0,510
130600,24510130600,3578.0,95500.0,51361.0,423.0,11.8,2.0,2588.0,71.0,175.0,1080.0,33.8,3073.0,255.0,104.0,98.0,130.0,2113.0,977.0,661.0,349.0,2999.0,230.0,3240.0,510
130700,24510130700,4757.0,58815.0,45502.0,369.0,7.8,2.4,2709.0,113.0,596.0,1073.0,38.2,4151.0,259.0,115.0,183.0,216.0,2430.0,1130.0,1315.0,555.0,2953.0,1249.0,3980.0,510
130803,24510130803,2457.0,55128.0,37757.0,198.0,8.1,2.2,1470.0,53.0,287.0,568.0,37.3,1685.0,235.0,86.0,19.0,444.0,1332.0,666.0,502.0,410.0,1757.0,290.0,2064.0,510
130804,24510130804,1982.0,67019.0,39191.0,290.0,14.6,5.0,1325.0,99.0,226.0,422.0,32.4,1784.0,150.0,0.0,66.0,38.0,1025.0,473.0,434.0,249.0,1580.0,153.0,1759.0,510
130805,24510130805,943.0,39750.0,33640.0,171.0,18.1,3.9,424.0,37.0,108.0,87.0,57.9,147.0,756.0,13.0,5.0,27.0,609.0,259.0,309.0,83.0,486.0,374.0,874.0,510
130806,24510130806,1437.0,87188.0,45786.0,71.0,4.9,1.0,849.0,15.0,175.0,279.0,41.2,1103.0,243.0,42.0,67.0,41.0,759.0,356.0,188.0,193.0,969.0,275.0,1064.0,510
140100,24510140100,4455.0,49688.0,39454.0,814.0,18.3,4.7,2210.0,210.0,397.0,672.0,42.3,2337.0,1671.0,160.0,316.0,166.0,1896.0,712.0,1528.0,301.0,3086.0,1068.0,3637.0,510
140200,24510140200,2467.0,28000.0,14858.0,1080.0,43.8,2.3,811.0,57.0,314.0,81.0,22.0,130.0,2285.0,52.0,15.0,0.0,660.0,175.0,607.0,1068.0,1166.0,233.0,1410.0,510
140300,24510140300,2353.0,38194.0,21930.0,735.0,31.2,2.1,959.0,49.0,522.0,119.0,34.0,111.0,2136.0,27.0,37.0,39.0,796.0,292.0,639.0,623.0,1407.0,323.0,1687.0,510
150100,24510150100,2192.0,17346.0,17457.0,1113.0,50.8,6.8,631.0,150.0,484.0,51.0,40.2,29.0,2103.0,34.0,0.0,26.0,1084.0,343.0,605.0,518.0,1291.0,383.0,1718.0,510
