Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH,county
261100,24510261100,1792.0,121000.0,63780.0,136.0,7.6,4.2,1363.0,76.0,140.0,621.0,31.4,1574.0,114.0,37.0,52.0,55.0,1312.0,637.0,207.0,173.0,1518.0,101.0,1608.0,510
270101,24510270101,1511.0,73523.0,36878.0,131.0,8.7,3.8,777.0,57.0,258.0,231.0,41.5,679.0,702.0,38.0,42.0,9.0,1227.0,468.0,107.0,329.0,976.0,206.0,1189.0,510
270102,24510270102,3705.0,65237.0,27929.0,293.0,7.9,5.2,1855.0,192.0,644.0,319.0,41.0,737.0,2661.0,87.0,52.0,32.0,3046.0,1012.0,211.0,783.0,2437.0,485.0,2989.0,510
270200,24510270200,1882.0,74236.0,34164.0,157.0,8.3,5.3,1045.0,100.0,226.0,309.0,41.0,947.0,776.0,102.0,65.0,7.0,1377.0,497.0,212.0,394.0,1267.0,221.0,1497.0,510
270301,24510270301,3173.0,65223.0,30169.0,329.0,10.4,2.9,1484.0,92.0,536.0,544.0,43.0,1113.0,1925.0,35.0,154.0,58.0,2128.0,923.0,224.0,624.0,2057.0,492.0,2430.0,510
270302,24510270302,1916.0,73967.0,34028.0,307.0,16.0,4.9,925.0,94.0,452.0,170.0,43.6,980.0,840.0,29.0,127.0,5.0,1397.0,480.0,185.0,336.0,1290.0,290.0,1593.0,510
270401,24510270401,5625.0,65098.0,33153.0,421.0,7.5,1.7,2935.0,97.0,1179.0,655.0,39.0,1692.0,3585.0,321.0,64.0,27.0,4198.0,1606.0,462.0,1450.0,3687.0,488.0,4174.0,510
270402,24510270402,3611.0,79833.0,27621.0,215.0,6.0,1.9,1691.0,68.0,483.0,469.0,35.5,1204.0,2213.0,130.0,87.0,63.0,3161.0,957.0,187.0,1052.0,2169.0,390.0,2693.0,510
270501,24510270501,4130.0,61227.0,33893.0,371.0,9.0,1.8,1971.0,76.0,752.0,426.0,43.5,2204.0,1691.0,29.0,265.0,141.0,3714.0,1382.0,261.0,823.0,2607.0,700.0,3421.0,510
270502,24510270502,4261.0,69500.0,40502.0,463.0,10.9,5.2,2325.0,221.0,751.0,749.0,43.4,1690.0,2437.0,44.0,48.0,68.0,3258.0,1244.0,566.0,921.0,2822.0,518.0,3459.0,510
270600,24510270600,4980.0,59375.0,28365.0,598.0,12.0,5.2,2571.0,257.0,911.0,562.0,37.4,1890.0,2950.0,140.0,38.0,0.0,3985.0,1455.0,377.0,1044.0,3275.0,661.0,3965.0,510
270701,24510270701,2468.0,36994.0,28810.0,461.0,18.7,6.8,1539.0,169.0,560.0,115.0,31.9,61.0,2387.0,20.0,30.0,0.0,0.0,0.0,1139.0,460.0,1882.0,126.0,2045.0,510
270702,24510270702,1955.0,53532.0,37004.0,147.0,7.5,5.3,1088.0,103.0,398.0,187.0,41.3,569.0,1300.0,80.0,35.0,6.0,921.0,393.0,509.0,350.0,1360.0,245.0,1658.0,510
270703,24510270703,2629.0,61199.0,34521.0,247.0,9.4,2.3,1654.0,60.0,457.0,558.0,44.2,1594.0,967.0,4.0,99.0,12.0,1814.0,729.0,374.0,394.0,1944.0,291.0,2193.0,510
270801,24510270801,4183.0,53614.0,26576.0,718.0,17.2,5.7,2080.0,238.0,919.0,503.0,37.9,535.0,3282.0,173.0,58.0,23.0,2973.0,1121.0,439.0,899.0,2806.0,478.0,3457.0,510
270802,24510270802,5205.0,50354.0,24120.0,730.0,14.0,4.9,2481.0,255.0,1382.0,289.0,37.9,173.0,4611.0,122.0,263.0,34.0,1858.0,846.0,1326.0,1201.0,3233.0,771.0,4221.0,510
270803,24510270803,6846.0,51510.0,27601.0,396.0,5.8,4.7,2994.0,323.0,1370.0,768.0,38.8,577.0,6057.0,87.0,65.0,82.0,3358.0,1064.0,1865.0,1459.0,4134.0,1253.0,5372.0,510
270804,24510270804,3109.0,56903.0,39798.0,288.0,9.3,4.7,2155.0,147.0,525.0,405.0,40.6,1506.0,1479.0,32.0,435.0,92.0,1225.0,615.0,829.0,377.0,2352.0,380.0,2712.0,510
270805,24510270805,5312.0,54139.0,27431.0,643.0,12.1,7.4,2302.0,393.0,1017.0,591.0,38.5,565.0,4425.0,160.0,187.0,78.0,3770.0,1370.0,464.0,1264.0,3227.0,821.0,4132.0,510
270901,24510270901,4348.0,52803.0,28756.0,323.0,7.4,4.2,2258.0,181.0,1107.0,194.0,34.4,121.0,4090.0,137.0,130.0,0.0,2458.0,881.0,815.0,835.0,2786.0,727.0,3535.0,510
270902,24510270902,5363.0,57356.0,19651.0,435.0,8.1,5.9,2149.0,319.0,972.0,472.0,26.7,264.0,4790.0,169.0,92.0,37.0,3145.0,1217.0,208.0,769.0,3663.0,931.0,3240.0,510
270903,24510270903,4810.0,48611.0,18188.0,434.0,9.0,3.3,1677.0,160.0,385.0,369.0,22.3,939.0,3510.0,218.0,518.0,100.0,1435.0,681.0,537.0,506.0,3902.0,402.0,2265.0,510
271001,24510271001,2479.0,41192.0,19710.0,376.0,15.2,7.5,953.0,187.0,490.0,171.0,34.7,87.0,2338.0,10.0,14.0,27.0,1042.0,353.0,476.0,640.0,1578.0,261.0,1905.0,510
271002,24510271002,4203.0,37232.0,20695.0,1501.0,35.7,6.6,1395.0,279.0,753.0,386.0,37.8,137.0,3984.0,76.0,97.0,0.0,2741.0,1050.0,464.0,1196.0,2223.0,784.0,3014.0,510
271101,24510271101,2001.0,55820.0,38391.0,394.0,19.7,3.4,998.0,69.0,243.0,331.0,38.7,1056.0,643.0,66.0,22.0,203.0,933.0,366.0,511.0,327.0,1401.0,273.0,1623.0,510
271102,24510271102,4505.0,213200.0,32299.0,34.0,0.8,1.0,1267.0,43.0,73.0,245.0,20.7,2883.0,929.0,325.0,204.0,264.0,1156.0,442.0,0.0,260.0,3984.0,261.0,910.0,510
271200,24510271200,6434.0,148788.0,70976.0,308.0,4.8,1.4,3281.0,90.0,453.0,1179.0,41.1,5104.0,841.0,112.0,109.0,377.0,5382.0,1839.0,359.0,1662.0,3800.0,972.0,4733.0,510
271300,24510271300,2575.0,154432.0,92510.0,54.0,2.1,0.4,1470.0,11.0,45.0,660.0,42.8,2233.0,156.0,30.0,70.0,130.0,1923.0,727.0,334.0,577.0,1481.0,517.0,2009.0,510
271400,24510271400,4040.0,122344.0,66979.0,257.0,6.4,1.6,1911.0,66.0,149.0,575.0,37.2,3147.0,268.0,166.0,286.0,365.0,2583.0,978.0,446.0,870.0,2453.0,717.0,2779.0,510
271501,24510271501,4162.0,100167.0,54731.0,298.0,7.2,2.7,2247.0,112.0,174.0,819.0,38.8,3278.0,604.0,81.0,239.0,146.0,3027.0,1117.0,631.0,1058.0,2424.0,680.0,3107.0,510
271503,24510271503,850.0,71875.0,79787.0,45.0,5.3,1.8,405.0,15.0,57.0,272.0,64.0,738.0,34.0,24.0,29.0,35.0,728.0,544.0,100.0,25.0,416.0,409.0,825.0,510
271600,24510271600,4310.0,28133.0,17866.0,1447.0,33.6,8.7,1246.0,374.0,1253.0,210.0,38.6,117.0,4115.0,22.0,40.0,56.0,1752.0,551.0,955.0,844.0,2686.0,780.0,3292.0,510
271700,24510271700,4813.0,41891.0,21920.0,868.0,18.0,8.0,1686.0,387.0,1366.0,213.0,50.6,221.0,4523.0,24.0,20.0,45.0,2587.0,849.0,900.0,675.0,2795.0,1343.0,3860.0,510
271801,24510271801,2902.0,30462.0,22668.0,914.0,31.5,8.8,1081.0,256.0,721.0,112.0,46.1,37.0,2738.0,49.0,41.0,11.0,1663.0,661.0,571.0,435.0,1735.0,732.0,2483.0,510
271802,24510271802,2567.0,29495.0,14449.0,929.0,36.2,3.2,869.0,81.0,738.0,108.0,41.9,15.0,2492.0,41.0,23.0,0.0,846.0,374.0,539.0,597.0,1564.0,406.0,2004.0,510
271900,24510271900,3815.0,51736.0,32143.0,612.0,16.0,3.8,1519.0,146.0,717.0,689.0,47.1,950.0,2802.0,10.0,0.0,44.0,2835.0,1036.0,423.0,718.0,2196.0,901.0,3071.0,510
272003,24510272003,6122.0,66250.0,31802.0,653.0,10.7,3.0,2473.0,181.0,876.0,859.0,34.0,3823.0,1884.0,0.0,496.0,206.0,4255.0,1244.0,797.0,1778.0,3413.0,931.0,4544.0,510
272004,24510272004,3898.0,42800.0,30815.0,490.0,12.6,1.3,1913.0,49.0,652.0,735.0,37.5,2796.0,682.0,0.0,111.0,312.0,1452.0,679.0,1163.0,757.0,2125.0,1016.0,3164.0,510
272005,24510272005,3395.0,59500.0,34874.0,654.0,19.3,3.8,1472.0,130.0,334.0,504.0,35.5,2969.0,383.0,14.0,52.0,29.0,2261.0,700.0,552.0,918.0,1863.0,614.0,2585.0,510
272006,24510272006,3534.0,32500.0,25502.0,547.0,15.5,2.8,1253.0,99.0,641.0,386.0,41.2,1702.0,1733.0,65.0,88.0,0.0,1571.0,525.0,1097.0,911.0,1767.0,856.0,2683.0,510
272007,24510272007,4635.0,39777.0,23049.0,1197.0,25.8,4.8,1954.0,224.0,742.0,479.0,34.7,2198.0,2051.0,59.0,397.0,282.0,1798.0,552.0,1223.0,1531.0,2481.0,623.0,3347.0,510
280101,24510280101,3869.0,47440.0,24073.0,1086.0,28.1,5.6,1662.0,215.0,975.0,268.0,37.5,266.0,3496.0,57.0,141.0,19.0,1644.0,627.0,676.0,973.0,2495.0,401.0,2946.0,510
280102,24510280102,6177.0,55243.0,24191.0,869.0,14.1,3.9,2126.0,241.0,1280.0,917.0,51.2,162.0,6015.0,0.0,93.0,0.0,4187.0,1535.0,888.0,1173.0,3562.0,1442.0,4829.0,510
280200,24510280200,4960.0,57097.0,30939.0,978.0,19.7,6.6,2056.0,325.0,910.0,627.0,48.5,210.0,4451.0,224.0,62.0,22.0,4225.0,1329.0,323.0,698.0,2929.0,1333.0,4305.0,510
280301,24510280301,3849.0,37163.0,25295.0,895.0,23.3,1.7,1846.0,66.0,754.0,421.0,30.6,339.0,3229.0,227.0,16.0,38.0,460.0,249.0,1635.0,818.0,2584.0,447.0,3037.0,510
280302,24510280302,2464.0,43438.0,25487.0,438.0,17.8,4.5,1207.0,112.0,584.0,187.0,31.9,96.0,2193.0,168.0,14.0,7.0,869.0,309.0,690.0,619.0,1578.0,267.0,1913.0,510
280401,24510280401,3479.0,46139.0,28736.0,456.0,13.1,3.1,1608.0,107.0,557.0,515.0,46.0,590.0,2722.0,132.0,62.0,16.0,2222.0,923.0,596.0,676.0,2220.0,583.0,2853.0,510
280402,24510280402,1634.0,48276.0,22145.0,219.0,13.4,6.9,752.0,113.0,392.0,118.0,41.6,2.0,1567.0,1.0,24.0,0.0,1111.0,446.0,158.0,256.0,1057.0,321.0,1393.0,510
280403,24510280403,5264.0,62945.0,37610.0,294.0,5.6,3.9,2801.0,203.0,874.0,377.0,35.1,1293.0,3848.0,56.0,136.0,37.0,2310.0,881.0,1259.0,1199.0,3409.0,656.0,4073.0,510
280404,24510280404,2812.0,37292.0,21545.0,737.0,26.2,4.5,1200.0,127.0,706.0,106.0,31.9,107.0,2551.0,154.0,114.0,0.0,1244.0,390.0,655.0,654.0,1746.0,412.0,1966.0,510
280500,24510280500,2238.0,13644.0,12896.0,1330.0,59.4,5.1,545.0,114.0,372.0,107.0,35.0,149.0,2045.0,8.0,21.0,28.0,183.0,66.0,913.0,620.0,1353.0,265.0,1357.0,510
