Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,010200,24510010200,"3,145",$109102.00,$52527.00,185,590.00%,110.00%,2327.0,34.0,254.0,1049.0,31.6,2775.0,164.0,58.0,66.0,138.0,2514.0,1133.0,304.0,367.0,2562.0,216.0
Brooklyn,020300,24510020300,"3,768",$96667.00,$84805.00,336,890.00%,140.00%,2822.0,52.0,253.0,1189.0,34.3,3157.0,84.0,240.0,337.0,287.0,1554.0,743.0,1367.0,207.0,3247.0,314.0
E Monument St,040100,24510040100,"4,007",$61754.00,$47181.00,"1,006",2510.00%,230.00%,2659.0,93.0,257.0,1195.0,28.6,2203.0,564.0,57.0,276.0,948.0,299.0,195.0,2126.0,104.0,3795.0,108.0
Hamilton Lauraville,040200,24510040200,865,$56250.00,$18951.00,81,940.00%,0.00%,359.0,0.0,16.0,150.0,24.2,387.0,287.0,58.0,29.0,100.0,0.0,0.0,234.0,18.0,827.0,20.0
E Monument St,060200,24510060200,"3,075",$66371.00,$30821.00,633,2060.00%,590.00%,1641.0,180.0,248.0,530.0,31.1,1591.0,1295.0,139.0,396.0,30.0,1414.0,552.0,532.0,797.0,2083.0,195.0
E Monument St,060300,24510060300,"1,931",$57679.00,$32811.00,426,2210.00%,420.00%,1011.0,81.0,136.0,273.0,31.4,885.0,844.0,106.0,236.0,86.0,820.0,368.0,395.0,480.0,1316.0,135.0
Waverly,060400,24510060400,"1,433",$51932.00,$34028.00,254,1770.00%,270.00%,757.0,38.0,201.0,216.0,37.2,427.0,928.0,21.0,23.0,46.0,354.0,178.0,551.0,138.0,1039.0,256.0
E Monument St,070100,24510070100,"2,889",$33750.00,$13729.00,"1,120",3880.00%,730.00%,927.0,210.0,497.0,109.0,28.7,148.0,2621.0,7.0,317.0,0.0,768.0,291.0,502.0,970.0,1682.0,237.0
E Monument St,070200,24510070200,"2,817",$28510.00,$16175.00,"1,228",4360.00%,1280.00%,911.0,360.0,560.0,71.0,29.8,23.0,2761.0,13.0,127.0,9.0,739.0,272.0,729.0,710.0,1879.0,228.0
E Monument St,070300,24510070300,885,$28566.00,$18532.00,351,3970.00%,400.00%,354.0,35.0,266.0,30.0,36.9,104.0,690.0,0.0,145.0,0.0,330.0,129.0,188.0,240.0,571.0,74.0
E Monument St,070400,24510070400,"1,495",$19034.00,$15116.00,667,4460.00%,690.00%,554.0,103.0,207.0,190.0,29.1,97.0,1281.0,0.0,22.0,117.0,120.0,54.0,671.0,303.0,989.0,203.0
Belair Rd,080101,24510080101,"3,993",$60511.00,$31155.00,621,1560.00%,430.00%,1760.0,170.0,975.0,431.0,35.9,1126.0,2657.0,157.0,50.0,37.0,2072.0,797.0,505.0,1113.0,2555.0,325.0
Belair Rd,080102,24510080102,"2,181",$34167.00,$14336.00,685,3140.00%,660.00%,866.0,145.0,552.0,66.0,31.0,28.0,2133.0,8.0,0.0,12.0,936.0,318.0,408.0,630.0,1449.0,102.0
Hampden,080200,24510080200,"1,539",$28958.00,$17170.00,372,2420.00%,870.00%,540.0,134.0,281.0,35.0,41.6,56.0,1483.0,0.0,0.0,0.0,759.0,229.0,356.0,326.0,966.0,247.0
E Monument St,080301,24510080301,"1,653",$38553.00,$18623.00,432,2610.00%,910.00%,565.0,151.0,381.0,29.0,43.3,51.0,1582.0,0.0,43.0,10.0,567.0,244.0,342.0,389.0,1009.0,255.0
E Monument St,080400,24510080400,"1,214",$23472.00,$15229.00,544,4480.00%,910.00%,411.0,111.0,285.0,101.0,35.6,229.0,972.0,13.0,90.0,0.0,290.0,115.0,240.0,330.0,767.0,117.0
E Monument St,080800,24510080800,"1,452",$33750.00,$15385.00,520,3580.00%,650.00%,406.0,95.0,218.0,37.0,23.5,70.0,1326.0,8.0,54.0,0.0,284.0,100.0,359.0,659.0,728.0,65.0
E Monument St,090100,24510090100,"4,057",$44904.00,$25138.00,959,2360.00%,560.00%,1863.0,228.0,849.0,232.0,41.9,543.0,3399.0,91.0,101.0,10.0,2348.0,967.0,702.0,793.0,2609.0,655.0
Waverly,090300,24510090300,"4,558",$40231.00,$25709.00,"1,337",2930.00%,550.00%,1932.0,249.0,648.0,659.0,44.8,1089.0,3086.0,61.0,147.0,75.0,2339.0,963.0,999.0,737.0,2855.0,966.0
Waverly,090400,24510090400,"1,756",$31696.00,$17756.00,537,3060.00%,430.00%,796.0,76.0,412.0,84.0,31.1,193.0,1436.0,65.0,154.0,4.0,412.0,157.0,475.0,512.0,1132.0,112.0
Waverly,090500,24510090500,"1,957",$42347.00,$20640.00,330,1690.00%,460.00%,898.0,90.0,559.0,124.0,32.1,334.0,1492.0,86.0,7.0,45.0,956.0,337.0,343.0,465.0,1336.0,156.0
North Ave,090800,24510090800,"2,797",$34185.00,$15596.00,"1,017",3640.00%,1550.00%,808.0,434.0,630.0,107.0,39.8,66.0,2611.0,103.0,38.0,17.0,1715.0,533.0,395.0,525.0,1785.0,487.0
Belair Rd,100200,24510100200,"2,837",$14452.00,$12828.00,"1,123",3960.00%,460.00%,748.0,131.0,360.0,82.0,30.6,83.0,2733.0,11.0,31.0,0.0,145.0,100.0,1045.0,640.0,1821.0,376.0
Waverly,110100,24510110100,"3,040",$49411.00,$39414.00,501,1650.00%,360.00%,2467.0,108.0,47.0,772.0,29.7,1775.0,673.0,165.0,164.0,356.0,437.0,241.0,1690.0,53.0,2830.0,157.0
