Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Penn Ave,110200,24510110200,"5,273",$42167.00,$44235.00,848,1610.00%,280.00%,3581.0,146.0,270.0,1404.0,31.8,3375.0,1168.0,169.0,332.0,311.0,660.0,379.0,3227.0,71.0,4449.0,753.0
Park Heights,120100,24510120100,"4,602",$62266.00,$60842.00,842,1830.00%,330.00%,2251.0,154.0,286.0,948.0,40.1,2970.0,394.0,266.0,178.0,859.0,2386.0,1195.0,1195.0,409.0,3052.0,1141.0
Waverly,120201,24510120201,"1,986",$73625.00,$48187.00,336,1690.00%,300.00%,1210.0,60.0,112.0,508.0,32.1,1400.0,357.0,105.0,61.0,104.0,1103.0,547.0,336.0,213.0,1581.0,192.0
Waverly,120202,24510120202,"6,030",$36552.00,$17746.00,"1,106",1830.00%,210.00%,2170.0,129.0,61.0,690.0,21.6,3478.0,693.0,319.0,379.0,1447.0,699.0,331.0,1351.0,142.0,5674.0,214.0
Waverly,120300,24510120300,"3,949",$49628.00,$29826.00,908,2300.00%,760.00%,2052.0,300.0,602.0,691.0,32.6,1510.0,1950.0,226.0,121.0,151.0,1585.0,606.0,979.0,711.0,2991.0,247.0
Penn Ave,120400,24510120400,"1,707",$38194.00,$23757.00,699,4090.00%,420.00%,713.0,71.0,271.0,190.0,28.5,429.0,1241.0,8.0,51.0,17.0,446.0,187.0,437.0,445.0,1157.0,105.0
Penn Ave,120700,24510120700,"2,241",$57381.00,$32311.00,290,1290.00%,890.00%,1338.0,199.0,402.0,407.0,35.9,1591.0,505.0,47.0,51.0,65.0,1198.0,541.0,469.0,264.0,1817.0,160.0
E Monument St,130100,24510130100,"2,746",$28095.00,$26006.00,"1,007",3670.00%,400.00%,1133.0,111.0,467.0,386.0,41.2,469.0,2144.0,55.0,75.0,15.0,802.0,322.0,1112.0,449.0,1957.0,340.0
Penn Ave,130300,24510130300,"2,446",$34118.00,$18222.00,853,3490.00%,610.00%,767.0,149.0,394.0,198.0,34.1,134.0,2269.0,7.0,15.0,36.0,1093.0,400.0,452.0,776.0,1436.0,234.0
Brooklyn,130400,24510130400,"2,182",$27393.00,$18260.00,747,3420.00%,800.00%,835.0,174.0,587.0,105.0,39.9,139.0,1927.0,5.0,105.0,1.0,859.0,327.0,494.0,424.0,1506.0,252.0
Hampden,130600,24510130600,"3,682",$89363.00,$46598.00,377,1020.00%,190.00%,2639.0,69.0,229.0,1034.0,34.1,3083.0,256.0,92.0,82.0,234.0,2186.0,1037.0,655.0,402.0,3050.0,230.0
Hampden,130700,24510130700,"4,712",$57368.00,$41805.00,360,760.00%,180.00%,2673.0,85.0,684.0,1050.0,38.6,3988.0,352.0,202.0,224.0,153.0,2454.0,1144.0,1238.0,534.0,2935.0,1243.0
Hampden,130804,24510130804,"1,942",$65188.00,$36156.00,309,1590.00%,470.00%,1283.0,91.0,243.0,422.0,31.5,1755.0,147.0,0.0,62.0,27.0,991.0,448.0,421.0,277.0,1535.0,130.0
Penn Ave,140200,24510140200,"2,691",$24282.00,$12920.00,"1,479",5500.00%,270.00%,774.0,72.0,408.0,183.0,26.0,86.0,2564.0,41.0,18.0,0.0,481.0,120.0,799.0,1159.0,1382.0,150.0
Penn Ave,140300,24510140300,"2,856",$27337.00,$17256.00,"1,167",4090.00%,410.00%,1027.0,118.0,543.0,177.0,33.3,113.0,2649.0,22.0,29.0,35.0,802.0,285.0,756.0,713.0,1868.0,275.0
Penn Ave,150100,24510150100,"2,678",$20269.00,$14885.00,"1,202",4490.00%,810.00%,721.0,218.0,503.0,58.0,36.5,28.0,2595.0,33.0,0.0,22.0,1074.0,348.0,686.0,632.0,1599.0,447.0
Pigtown,150400,24510150400,"3,749",$32868.00,$12920.00,670,1790.00%,580.00%,1238.0,217.0,704.0,145.0,29.5,34.0,3507.0,143.0,18.0,37.0,759.0,298.0,807.0,625.0,2583.0,541.0
North Ave,150600,24510150600,"2,922",$26782.00,$16387.00,916,3130.00%,1210.00%,1063.0,355.0,662.0,81.0,38.5,123.0,2772.0,27.0,0.0,0.0,1287.0,354.0,639.0,544.0,1984.0,394.0
North Ave,150702,24510150702,"2,211",$40529.00,$21949.00,532,2410.00%,560.00%,934.0,124.0,423.0,228.0,37.7,23.0,2118.0,56.0,14.0,0.0,1354.0,565.0,288.0,510.0,1391.0,310.0
Penn Ave,150800,24510150800,"4,337",$35095.00,$25517.00,"1,120",2580.00%,630.00%,1483.0,273.0,1213.0,347.0,42.1,31.0,4177.0,123.0,33.0,0.0,2285.0,771.0,980.0,951.0,2657.0,729.0
Park Heights,151300,24510151300,"4,338",$26538.00,$13903.00,"1,518",3500.00%,680.00%,1355.0,296.0,993.0,208.0,39.1,300.0,3853.0,142.0,193.0,38.0,1552.0,555.0,953.0,1087.0,2817.0,434.0
Penn Ave,160100,24510160100,"1,998",$25772.00,$19583.00,853,4270.00%,580.00%,797.0,116.0,434.0,31.0,43.0,34.0,1872.0,10.0,16.0,3.0,870.0,292.0,638.0,380.0,1322.0,296.0
Penn Ave,160200,24510160200,"2,389",$26331.00,$16936.00,835,3500.00%,630.00%,799.0,150.0,656.0,30.0,29.8,15.0,2368.0,6.0,28.0,0.0,946.0,326.0,521.0,785.0,1325.0,279.0
Penn Ave,160400,24510160400,"2,452",$23417.00,$12594.00,"1,043",4250.00%,330.00%,823.0,81.0,550.0,22.0,30.0,16.0,2410.0,10.0,0.0,4.0,771.0,283.0,434.0,809.0,1363.0,280.0
Pimlico,160600,24510160600,"3,393",$33586.00,$19977.00,"1,148",3380.00%,520.00%,1241.0,178.0,802.0,188.0,36.1,71.0,3188.0,21.0,65.0,27.0,1457.0,499.0,666.0,816.0,2191.0,386.0
Pigtown,160700,24510160700,"4,311",$36097.00,$16684.00,"1,414",3280.00%,780.00%,1706.0,338.0,1003.0,270.0,31.2,76.0,4188.0,47.0,40.0,0.0,1660.0,601.0,890.0,1089.0,2772.0,450.0
Waverly,170100,24510170100,"1,661",$27000.00,$25645.00,426,2560.00%,370.00%,887.0,62.0,218.0,225.0,38.6,515.0,1065.0,15.0,19.0,14.0,292.0,166.0,808.0,222.0,1241.0,198.0
Penn Ave,170200,24510170200,"3,033",$14707.00,$10530.00,"1,530",5040.00%,530.00%,847.0,161.0,515.0,113.0,28.0,231.0,2641.0,48.0,8.0,113.0,276.0,58.0,1381.0,931.0,1696.0,406.0
Penn Ave,170300,24510170300,"1,630",$22574.00,$22378.00,528,3240.00%,640.00%,690.0,105.0,197.0,131.0,39.8,34.0,1524.0,21.0,10.0,42.0,706.0,303.0,487.0,310.0,1048.0,272.0
Greektown,180100,24510180100,"2,253",$15662.00,$8744.00,"1,235",5480.00%,760.00%,552.0,172.0,384.0,11.0,22.6,4.0,2231.0,0.0,13.0,0.0,98.0,65.0,881.0,1003.0,1095.0,155.0
Penn Ave,180200,24510180200,930,$22778.00,$15056.00,299,3220.00%,910.00%,314.0,85.0,149.0,37.0,39.5,96.0,801.0,20.0,33.0,13.0,299.0,96.0,246.0,188.0,526.0,216.0
Pigtown,180300,24510180300,"1,651",$36458.00,$29635.00,614,3720.00%,550.00%,953.0,91.0,318.0,219.0,31.9,617.0,929.0,64.0,20.0,41.0,409.0,235.0,568.0,226.0,1390.0,35.0
North Ave,190300,24510190300,"2,442",$20352.00,$14859.00,"1,119",4580.00%,510.00%,783.0,124.0,466.0,104.0,30.7,569.0,1518.0,26.0,268.0,118.0,518.0,206.0,655.0,672.0,1571.0,199.0
E Monument St,200300,24510200300,"1,612",$21890.00,$12239.00,708,4390.00%,660.00%,414.0,107.0,306.0,43.0,31.4,237.0,1061.0,94.0,114.0,25.0,248.0,97.0,405.0,527.0,955.0,130.0
Penn Ave,200600,24510200600,"2,299",$33550.00,$16531.00,504,2190.00%,700.00%,891.0,162.0,577.0,74.0,35.1,612.0,1534.0,148.0,77.0,0.0,1129.0,468.0,311.0,464.0,1531.0,304.0
North Ave,200701,24510200701,"5,483",$37194.00,$17203.00,"1,474",2690.00%,1000.00%,1817.0,550.0,1232.0,155.0,35.4,61.0,5421.0,0.0,108.0,0.0,2217.0,834.0,1031.0,1456.0,3213.0,814.0
Irvington,200702,24510200702,"1,100",$27328.00,$14451.00,348,3160.00%,340.00%,362.0,37.0,221.0,40.0,39.1,28.0,1062.0,10.0,0.0,0.0,813.0,305.0,121.0,314.0,583.0,203.0
Irvington,200800,24510200800,"2,075",$38750.00,$20297.00,592,2850.00%,530.00%,847.0,109.0,480.0,118.0,41.0,225.0,1819.0,31.0,30.0,0.0,1219.0,459.0,372.0,445.0,1370.0,260.0
Pigtown,210100,24510210100,"2,378",$44583.00,$27489.00,522,2200.00%,790.00%,1314.0,188.0,307.0,384.0,30.7,739.0,1530.0,32.0,51.0,64.0,821.0,408.0,558.0,458.0,1773.0,147.0
Pigtown,210200,24510210200,"3,025",$32000.00,$26958.00,982,3250.00%,700.00%,1359.0,212.0,609.0,325.0,38.8,1205.0,1594.0,153.0,92.0,73.0,1495.0,610.0,642.0,481.0,2218.0,326.0
Park Heights,230100,24510230100,"1,822",$61563.00,$41248.00,274,1500.00%,280.00%,1164.0,51.0,239.0,456.0,29.1,1098.0,641.0,19.0,72.0,41.0,682.0,281.0,492.0,249.0,1476.0,97.0
Hamilton Lauraville,230200,24510230200,"2,166",$105511.00,$55993.00,167,770.00%,40.00%,1668.0,9.0,134.0,623.0,29.4,1728.0,289.0,62.0,106.0,87.0,993.0,502.0,497.0,188.0,1815.0,163.0
Penn Ave,240100,24510240100,"3,091",$119353.00,$71528.00,146,470.00%,220.00%,2082.0,68.0,164.0,1012.0,34.3,2853.0,95.0,17.0,102.0,73.0,2159.0,1060.0,399.0,482.0,2413.0,196.0
Irvington,240400,24510240400,"2,877",$102107.00,$49261.00,58,200.00%,100.00%,2052.0,28.0,270.0,819.0,30.7,2674.0,17.0,48.0,144.0,98.0,1707.0,719.0,456.0,326.0,2352.0,199.0
Penn Ave,250102,24510250102,"3,250",$48950.00,$21306.00,469,1440.00%,710.00%,1738.0,231.0,520.0,150.0,34.4,84.0,3113.0,34.0,18.0,19.0,1498.0,634.0,615.0,743.0,2165.0,342.0
Highlandtown,250103,24510250103,"3,417",$38109.00,$24751.00,634,1860.00%,310.00%,1448.0,105.0,794.0,244.0,46.2,2077.0,1018.0,226.0,257.0,29.0,1888.0,774.0,795.0,472.0,2055.0,890.0
Hampden,250203,24510250203,"1,938",$38009.00,$19369.00,407,2100.00%,190.00%,785.0,37.0,382.0,123.0,33.1,286.0,1502.0,37.0,145.0,59.0,448.0,194.0,503.0,560.0,1138.0,240.0
Pigtown,250301,24510250301,"2,348",$28917.00,$15713.00,798,3400.00%,750.00%,728.0,175.0,479.0,58.0,28.8,284.0,2064.0,0.0,127.0,0.0,1077.0,373.0,446.0,859.0,1285.0,204.0
Brooklyn,250401,24510250401,"3,497",$41622.00,$20936.00,964,2760.00%,670.00%,1404.0,235.0,722.0,156.0,35.3,1919.0,1011.0,118.0,563.0,290.0,1864.0,533.0,623.0,773.0,2429.0,295.0
Brooklyn,250402,24510250402,"4,232",$42163.00,$22093.00,"1,147",2710.00%,690.00%,1884.0,294.0,949.0,168.0,33.5,1253.0,2163.0,229.0,652.0,0.0,1416.0,519.0,1013.0,1218.0,2781.0,233.0
Pimlico,260102,24510260102,"4,742",$52560.00,$24302.00,449,950.00%,380.00%,2403.0,180.0,1070.0,376.0,40.3,550.0,4020.0,118.0,208.0,54.0,3882.0,1406.0,267.0,1046.0,3114.0,582.0
Irvington,260201,24510260201,"5,259",$34417.00,$20293.00,911,1730.00%,280.00%,2649.0,147.0,1314.0,592.0,36.5,704.0,4248.0,59.0,59.0,248.0,1403.0,619.0,1633.0,846.0,3888.0,525.0
Belair Rd,260301,24510260301,"4,649",$37409.00,$17973.00,"1,300",2800.00%,570.00%,1842.0,266.0,783.0,303.0,29.0,296.0,4132.0,152.0,7.0,50.0,2463.0,949.0,636.0,1418.0,2867.0,364.0
Belair Rd,260302,24510260302,"6,557",$31097.00,$16066.00,"1,971",3010.00%,820.00%,2006.0,537.0,1363.0,467.0,36.9,463.0,5964.0,1.0,159.0,0.0,3547.0,1407.0,1050.0,1745.0,4054.0,758.0
Hamilton Lauraville,260303,24510260303,947,$17898.00,$16048.00,373,3940.00%,620.00%,283.0,59.0,183.0,24.0,31.4,278.0,615.0,27.0,65.0,0.0,286.0,111.0,288.0,264.0,602.0,81.0
Hamilton Lauraville,260401,24510260401,"3,533",$32105.00,$15209.00,925,2620.00%,550.00%,1345.0,193.0,615.0,112.0,31.4,2318.0,474.0,206.0,1356.0,18.0,1944.0,691.0,593.0,1256.0,1919.0,358.0
E Monument St,260402,24510260402,"2,999",$42231.00,$19014.00,600,2000.00%,630.00%,1397.0,189.0,447.0,218.0,34.0,107.0,2729.0,130.0,0.0,0.0,1117.0,300.0,834.0,814.0,1951.0,234.0
Highlandtown,260403,24510260403,"1,840",$31657.00,$18437.00,581,3160.00%,840.00%,889.0,155.0,338.0,122.0,27.5,123.0,1685.0,32.0,0.0,0.0,613.0,181.0,514.0,571.0,1153.0,116.0
Greektown,260501,24510260501,"5,785",$53911.00,$23776.00,572,990.00%,250.00%,2760.0,143.0,998.0,406.0,34.8,3745.0,603.0,193.0,1827.0,195.0,2765.0,1078.0,836.0,1387.0,3604.0,794.0
Pimlico,260605,24510260605,"4,606",$37326.00,$20394.00,"1,464",3180.00%,330.00%,1614.0,151.0,784.0,222.0,36.7,2826.0,773.0,120.0,1394.0,37.0,2427.0,898.0,842.0,1325.0,2610.0,671.0
Greektown,260700,24510260700,"2,691",$56818.00,$24897.00,565,2100.00%,200.00%,1376.0,54.0,364.0,292.0,31.9,1728.0,63.0,220.0,1161.0,75.0,1219.0,533.0,339.0,706.0,1806.0,179.0
Highlandtown,260800,24510260800,"2,704",$44519.00,$22770.00,574,2120.00%,340.00%,1339.0,92.0,331.0,235.0,33.4,1916.0,608.0,50.0,1051.0,25.0,917.0,414.0,639.0,609.0,1750.0,345.0
Highlandtown,260900,24510260900,"3,110",$99932.00,$54621.00,185,590.00%,190.00%,2201.0,60.0,224.0,938.0,32.3,2686.0,238.0,111.0,191.0,65.0,1547.0,676.0,812.0,363.0,2476.0,271.0
Highlandtown,261000,24510261000,"3,077",$53194.00,$23482.00,898,2920.00%,260.00%,1455.0,81.0,307.0,145.0,34.5,2078.0,855.0,64.0,732.0,0.0,1982.0,611.0,397.0,867.0,1983.0,227.0
Highlandtown,261100,24510261100,"1,813",$111458.00,$63332.00,162,890.00%,390.00%,1297.0,71.0,127.0,569.0,31.9,1612.0,127.0,25.0,44.0,49.0,1325.0,650.0,236.0,187.0,1521.0,105.0
Hamilton Lauraville,270200,24510270200,"1,772",$68036.00,$32047.00,179,1010.00%,730.00%,937.0,129.0,197.0,272.0,41.2,890.0,736.0,95.0,62.0,7.0,1285.0,472.0,224.0,364.0,1170.0,238.0
Hamilton Lauraville,270301,24510270301,"3,089",$67379.00,$33391.00,297,960.00%,410.00%,1541.0,127.0,551.0,449.0,45.7,1133.0,1826.0,62.0,167.0,24.0,2344.0,947.0,210.0,505.0,2083.0,501.0
Hamilton Lauraville,270302,24510270302,"1,837",$68839.00,$32205.00,241,1310.00%,590.00%,904.0,109.0,452.0,179.0,43.2,912.0,848.0,38.0,128.0,5.0,1351.0,472.0,185.0,323.0,1265.0,249.0
Hamilton Lauraville,270401,24510270401,"6,211",$61786.00,$27431.00,785,1260.00%,210.00%,3115.0,129.0,1331.0,729.0,39.0,1520.0,4266.0,296.0,138.0,92.0,4790.0,1803.0,413.0,1749.0,3988.0,474.0
Hamilton Lauraville,270402,24510270402,"3,396",$72759.00,$27379.00,258,760.00%,380.00%,1670.0,128.0,611.0,455.0,36.3,1223.0,1968.0,147.0,61.0,57.0,3042.0,958.0,188.0,895.0,2137.0,364.0
Waverly,270502,24510270502,"4,259",$64375.00,$37479.00,559,1310.00%,630.00%,2315.0,270.0,801.0,703.0,41.3,1560.0,2481.0,129.0,28.0,66.0,3274.0,1253.0,543.0,936.0,2901.0,422.0
Hamilton Lauraville,270600,24510270600,"4,882",$58972.00,$27389.00,797,1630.00%,420.00%,2516.0,204.0,984.0,643.0,39.1,1863.0,2904.0,115.0,39.0,0.0,4116.0,1468.0,363.0,1077.0,3143.0,662.0
Pimlico,270702,24510270702,"1,962",$50651.00,$35629.00,249,1270.00%,630.00%,1039.0,124.0,445.0,194.0,41.3,579.0,1300.0,79.0,32.0,4.0,971.0,448.0,462.0,366.0,1354.0,242.0
Waverly,270703,24510270703,"2,646",$63448.00,$33814.00,208,790.00%,370.00%,1682.0,97.0,460.0,586.0,41.5,1580.0,946.0,36.0,120.0,54.0,1816.0,771.0,375.0,377.0,1907.0,362.0
E Monument St,270802,24510270802,"5,738",$50084.00,$36129.00,601,1050.00%,630.00%,2648.0,361.0,1615.0,268.0,37.9,244.0,5238.0,0.0,247.0,33.0,2481.0,921.0,1302.0,1332.0,3586.0,820.0
Penn Ave,270803,24510270803,"7,144",$52900.00,$25936.00,433,610.00%,680.00%,3109.0,486.0,1312.0,722.0,39.6,653.0,6360.0,42.0,47.0,89.0,3809.0,1126.0,1737.0,1408.0,4513.0,1223.0
Waverly,270804,24510270804,"3,172",$51268.00,$34935.00,544,1720.00%,570.00%,2039.0,181.0,491.0,446.0,38.8,1560.0,1474.0,16.0,332.0,84.0,1266.0,617.0,815.0,558.0,2291.0,323.0
Hampden,270805,24510270805,"5,278",$56412.00,$27721.00,606,1150.00%,750.00%,2312.0,398.0,960.0,611.0,38.9,511.0,4446.0,224.0,170.0,84.0,3908.0,1435.0,460.0,1207.0,3305.0,766.0
Pigtown,270901,24510270901,"4,259",$51355.00,$24956.00,441,1040.00%,520.00%,2083.0,222.0,996.0,237.0,35.5,98.0,4088.0,59.0,124.0,0.0,2424.0,893.0,774.0,811.0,2716.0,732.0
Belair Rd,270902,24510270902,"5,626",$62946.00,$20344.00,394,700.00%,580.00%,2293.0,329.0,1006.0,432.0,25.9,273.0,5126.0,138.0,86.0,44.0,3237.0,1192.0,238.0,826.0,3880.0,920.0
Penn Ave,270903,24510270903,"4,630",$44085.00,$16917.00,498,1080.00%,410.00%,1319.0,188.0,388.0,419.0,21.7,849.0,3421.0,235.0,445.0,84.0,1451.0,706.0,485.0,517.0,3707.0,406.0
Hamilton Lauraville,271002,24510271002,"4,268",$38358.00,$19826.00,"1,508",3530.00%,830.00%,1468.0,356.0,871.0,375.0,37.8,141.0,4058.0,62.0,84.0,0.0,2496.0,951.0,559.0,1210.0,2305.0,753.0
Highlandtown,271101,24510271101,"1,986",$47188.00,$36180.00,464,2340.00%,310.00%,989.0,62.0,250.0,336.0,39.0,1007.0,668.0,55.0,21.0,222.0,977.0,385.0,493.0,361.0,1349.0,276.0
Hampden,271102,24510271102,"4,496",$209167.00,$33074.00,36,80.00%,80.00%,1007.0,37.0,63.0,269.0,20.7,2973.0,864.0,326.0,203.0,237.0,1195.0,458.0,8.0,275.0,3982.0,239.0
E Monument St,271200,24510271200,"6,661",$135441.00,$64262.00,382,570.00%,260.00%,3286.0,172.0,446.0,1337.0,40.8,4842.0,956.0,357.0,282.0,424.0,5744.0,1949.0,327.0,1709.0,3964.0,988.0
Greektown,271300,24510271300,"2,715",$145966.00,$91179.00,59,220.00%,20.00%,1546.0,6.0,60.0,673.0,40.7,2273.0,161.0,55.0,45.0,211.0,1920.0,718.0,377.0,614.0,1586.0,515.0
Hamilton Lauraville,271400,24510271400,"4,047",$119167.00,$74115.00,255,630.00%,220.00%,1901.0,90.0,139.0,531.0,38.4,3144.0,261.0,169.0,185.0,428.0,2647.0,947.0,507.0,861.0,2509.0,677.0
Belair Rd,271501,24510271501,"4,077",$87422.00,$57440.00,263,650.00%,190.00%,2251.0,79.0,133.0,791.0,39.3,3249.0,490.0,67.0,211.0,223.0,2926.0,1096.0,639.0,1065.0,2351.0,661.0
E Monument St,271503,24510271503,863,$71848.00,$75009.00,47,540.00%,170.00%,458.0,15.0,46.0,249.0,62.8,758.0,35.0,10.0,19.0,47.0,736.0,535.0,97.0,31.0,470.0,362.0
Park Heights,271600,24510271600,"4,693",$28161.00,$17808.00,"1,523",3250.00%,870.00%,1363.0,406.0,1281.0,226.0,40.7,105.0,4557.0,23.0,23.0,8.0,2151.0,688.0,913.0,918.0,2958.0,817.0
Pimlico,271700,24510271700,"5,066",$40694.00,$21071.00,912,1800.00%,720.00%,1823.0,367.0,1438.0,272.0,48.9,225.0,4796.0,23.0,6.0,22.0,2539.0,841.0,986.0,591.0,3209.0,1266.0
Pimlico,271801,24510271801,"2,960",$26938.00,$23099.00,933,3150.00%,830.00%,1073.0,245.0,727.0,73.0,45.1,45.0,2770.0,72.0,48.0,12.0,1721.0,662.0,612.0,479.0,1791.0,690.0
Pimlico,271802,24510271802,"2,543",$29688.00,$14500.00,819,3220.00%,390.00%,857.0,99.0,702.0,94.0,43.7,7.0,2497.0,39.0,6.0,0.0,1030.0,406.0,509.0,574.0,1588.0,381.0
Pimlico,271900,24510271900,"4,012",$52200.00,$28308.00,841,2100.00%,390.00%,1526.0,156.0,700.0,672.0,44.5,983.0,2947.0,24.0,0.0,35.0,2806.0,1019.0,457.0,816.0,2284.0,912.0
Penn Ave,280101,24510280101,"3,763",$45458.00,$30501.00,"1,155",3070.00%,240.00%,1631.0,92.0,888.0,223.0,39.5,326.0,3320.0,50.0,125.0,0.0,1566.0,626.0,772.0,877.0,2459.0,427.0
Highlandtown,280102,24510280102,"6,292",$47527.00,$21272.00,"1,148",1820.00%,340.00%,2212.0,215.0,1214.0,684.0,51.0,164.0,6128.0,0.0,67.0,0.0,3684.0,1409.0,956.0,1039.0,3665.0,1588.0
