Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,010200,24510010200,2858.0,106250.0,57925.0,133.0,4.7,1.3,2086.0,38.0,185.0,951.0,31.9,2515.0,128.0,72.0,92.0,126.0,2331.0,1118.0,293.0,324.0,2308.0,226.0
Brooklyn,020300,24510020300,3761.0,108026.0,83545.0,342.0,9.1,0.9,2985.0,32.0,180.0,1089.0,34.0,3091.0,138.0,224.0,263.0,308.0,1376.0,697.0,1455.0,214.0,3144.0,403.0
E Monument St,040100,24510040100,5051.0,64016.0,50026.0,626.0,12.4,1.9,3496.0,98.0,188.0,1681.0,30.0,2179.0,1532.0,298.0,501.0,866.0,322.0,230.0,2854.0,437.0,4444.0,170.0
Hamilton Lauraville,040200,24510040200,984.0,43417.0,19148.0,93.0,9.5,1.7,440.0,17.0,45.0,145.0,23.8,440.0,338.0,68.0,34.0,129.0,0.0,0.0,261.0,22.0,943.0,19.0
E Monument St,060200,24510060200,3037.0,69034.0,40668.0,1026.0,33.8,5.1,1516.0,155.0,405.0,477.0,32.5,1469.0,1298.0,84.0,334.0,109.0,1547.0,578.0,505.0,771.0,2116.0,150.0
E Monument St,060300,24510060300,1881.0,72132.0,35568.0,339.0,18.0,3.0,1047.0,56.0,161.0,314.0,31.6,883.0,847.0,66.0,238.0,63.0,854.0,384.0,336.0,414.0,1306.0,161.0
Waverly,060400,24510060400,1561.0,51089.0,36510.0,294.0,18.8,1.0,781.0,15.0,147.0,289.0,31.8,545.0,821.0,77.0,73.0,109.0,418.0,217.0,580.0,239.0,1113.0,209.0
E Monument St,070100,24510070100,2966.0,43327.0,14397.0,1207.0,40.7,5.3,825.0,157.0,526.0,111.0,24.5,210.0,2464.0,16.0,411.0,0.0,1116.0,287.0,486.0,1137.0,1547.0,282.0
E Monument St,070200,24510070200,3696.0,31292.0,16474.0,1575.0,42.6,8.5,1263.0,316.0,722.0,34.0,28.3,91.0,3595.0,0.0,162.0,10.0,1150.0,385.0,707.0,1170.0,2229.0,297.0
E Monument St,070300,24510070300,900.0,36985.0,21494.0,236.0,26.2,8.8,362.0,79.0,302.0,32.0,41.9,42.0,749.0,0.0,87.0,0.0,233.0,88.0,205.0,140.0,647.0,113.0
E Monument St,070400,24510070400,1601.0,24457.0,17842.0,571.0,35.7,7.1,582.0,114.0,307.0,233.0,30.9,147.0,1302.0,8.0,43.0,144.0,187.0,56.0,714.0,278.0,1113.0,210.0
Belair Rd,080101,24510080101,3869.0,66845.0,38210.0,572.0,14.8,2.8,1863.0,108.0,795.0,486.0,35.1,1234.0,2366.0,210.0,96.0,28.0,2214.0,828.0,433.0,1034.0,2522.0,313.0
Belair Rd,080102,24510080102,2159.0,32747.0,13393.0,870.0,40.3,6.3,717.0,135.0,624.0,71.0,36.3,71.0,2065.0,6.0,7.0,17.0,854.0,300.0,391.0,597.0,1397.0,165.0
Hampden,080200,24510080200,1164.0,36375.0,16501.0,240.0,20.6,8.7,363.0,101.0,257.0,40.0,40.7,71.0,1093.0,0.0,0.0,0.0,617.0,202.0,238.0,254.0,684.0,226.0
E Monument St,080301,24510080301,1759.0,31250.0,17093.0,499.0,28.4,7.3,563.0,128.0,380.0,65.0,36.7,45.0,1597.0,0.0,143.0,10.0,828.0,287.0,316.0,463.0,1053.0,243.0
E Monument St,080400,24510080400,1263.0,32772.0,17576.0,485.0,38.4,8.9,477.0,112.0,233.0,160.0,40.6,235.0,1022.0,6.0,107.0,0.0,322.0,125.0,278.0,285.0,859.0,119.0
E Monument St,080800,24510080800,1583.0,53333.0,19845.0,473.0,29.9,3.6,443.0,57.0,279.0,46.0,18.6,76.0,1494.0,13.0,12.0,0.0,331.0,115.0,387.0,782.0,724.0,77.0
E Monument St,090100,24510090100,3758.0,44759.0,24633.0,788.0,21.0,6.4,1771.0,240.0,841.0,179.0,42.4,496.0,3119.0,122.0,86.0,21.0,2168.0,856.0,681.0,764.0,2398.0,596.0
Waverly,090300,24510090300,4476.0,49722.0,28304.0,1022.0,22.8,3.9,2036.0,176.0,480.0,765.0,42.0,1182.0,3143.0,57.0,202.0,78.0,2416.0,1063.0,845.0,883.0,2781.0,812.0
Waverly,090400,24510090400,1520.0,32276.0,16274.0,547.0,36.0,2.8,643.0,43.0,298.0,91.0,36.1,197.0,1187.0,74.0,181.0,1.0,379.0,150.0,475.0,463.0,945.0,112.0
Waverly,090500,24510090500,1747.0,44229.0,22614.0,362.0,20.7,4.8,774.0,84.0,525.0,124.0,40.3,352.0,1177.0,176.0,9.0,42.0,1001.0,369.0,308.0,391.0,1167.0,189.0
North Ave,090800,24510090800,2709.0,30972.0,14907.0,957.0,35.3,9.3,736.0,252.0,511.0,131.0,44.2,63.0,2583.0,53.0,0.0,10.0,1559.0,526.0,410.0,476.0,1719.0,514.0
