Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,010200,24510010200,3332.0,96171.0,43737.0,354.0,10.6,0.9,2242.0,29.0,315.0,988.0,31.3,2742.0,393.0,21.0,246.0,29.0,2575.0,1119.0,322.0,436.0,2701.0,195.0
Brooklyn,020300,24510020300,3827.0,100778.0,80498.0,307.0,8.0,2.5,2901.0,95.0,248.0,1301.0,34.7,3327.0,69.0,198.0,280.0,233.0,1791.0,845.0,1205.0,191.0,3331.0,305.0
E Monument St,040100,24510040100,3868.0,55277.0,44017.0,1028.0,26.6,2.7,2506.0,106.0,269.0,1145.0,28.9,2123.0,575.0,96.0,288.0,786.0,183.0,115.0,2114.0,159.0,3608.0,101.0
Hamilton Lauraville,040200,24510040200,835.0,52361.0,20935.0,103.0,12.3,1.6,385.0,13.0,16.0,175.0,24.4,396.0,278.0,16.0,44.0,113.0,0.0,0.0,259.0,23.0,790.0,22.0
E Monument St,060200,24510060200,3198.0,65294.0,28985.0,757.0,23.7,6.9,1672.0,221.0,403.0,537.0,30.7,1679.0,1340.0,141.0,505.0,7.0,1302.0,509.0,639.0,757.0,2240.0,201.0
E Monument St,060300,24510060300,1944.0,54567.0,32482.0,438.0,22.5,4.2,1061.0,82.0,180.0,339.0,31.2,878.0,899.0,96.0,164.0,60.0,699.0,364.0,419.0,424.0,1393.0,127.0
Waverly,060400,24510060400,1295.0,40806.0,32233.0,285.0,22.0,4.2,673.0,54.0,251.0,237.0,43.5,332.0,895.0,3.0,23.0,45.0,402.0,186.0,510.0,85.0,991.0,219.0
E Monument St,070100,24510070100,3180.0,39141.0,13467.0,1141.0,35.9,9.4,1102.0,300.0,587.0,86.0,27.1,195.0,2828.0,6.0,383.0,0.0,720.0,279.0,523.0,1043.0,1930.0,207.0
E Monument St,070200,24510070200,3023.0,27308.0,14309.0,1317.0,43.6,12.9,915.0,389.0,478.0,71.0,27.2,31.0,2877.0,11.0,196.0,7.0,802.0,283.0,739.0,852.0,1969.0,202.0
E Monument St,070300,24510070300,793.0,22361.0,13975.0,425.0,53.6,6.3,257.0,50.0,153.0,31.0,34.5,99.0,694.0,0.0,79.0,0.0,327.0,118.0,158.0,249.0,470.0,74.0
E Monument St,070400,24510070400,1343.0,16744.0,14771.0,637.0,47.4,4.2,428.0,56.0,149.0,95.0,29.6,89.0,1140.0,0.0,15.0,114.0,182.0,63.0,591.0,288.0,847.0,208.0
Belair Rd,080101,24510080101,4080.0,59051.0,26183.0,597.0,14.6,5.6,1827.0,227.0,912.0,433.0,34.3,922.0,2886.0,222.0,52.0,32.0,2113.0,774.0,524.0,1249.0,2523.0,308.0
Belair Rd,080102,24510080102,2087.0,35132.0,14965.0,579.0,27.7,5.2,817.0,108.0,533.0,71.0,33.1,29.0,2047.0,0.0,0.0,11.0,1015.0,330.0,362.0,590.0,1367.0,130.0
Hampden,080200,24510080200,1541.0,27237.0,17949.0,375.0,24.3,9.8,541.0,151.0,278.0,13.0,42.0,70.0,1471.0,0.0,0.0,0.0,730.0,213.0,395.0,324.0,952.0,265.0
E Monument St,080301,24510080301,1600.0,36958.0,19373.0,355.0,22.2,9.1,568.0,146.0,390.0,25.0,42.6,19.0,1558.0,6.0,0.0,11.0,561.0,232.0,343.0,378.0,976.0,246.0
E Monument St,080400,24510080400,1176.0,17150.0,12061.0,602.0,51.2,11.3,322.0,133.0,275.0,44.0,35.5,157.0,1014.0,5.0,94.0,0.0,239.0,104.0,265.0,313.0,696.0,167.0
E Monument St,080800,24510080800,1321.0,-666666666.0,12964.0,651.0,49.3,5.6,288.0,74.0,198.0,38.0,21.3,76.0,1182.0,0.0,68.0,0.0,193.0,79.0,359.0,632.0,636.0,53.0
E Monument St,090100,24510090100,3950.0,44414.0,25706.0,807.0,20.4,5.2,1876.0,205.0,735.0,316.0,40.3,613.0,3210.0,89.0,131.0,16.0,2282.0,977.0,726.0,678.0,2658.0,614.0
Waverly,090300,24510090300,4109.0,35804.0,25384.0,980.0,23.9,6.1,1781.0,250.0,601.0,548.0,45.0,756.0,2881.0,69.0,138.0,160.0,2256.0,935.0,976.0,579.0,2626.0,904.0
Waverly,090400,24510090400,1693.0,31723.0,17074.0,516.0,30.5,5.0,733.0,84.0,424.0,56.0,31.8,157.0,1471.0,45.0,113.0,0.0,417.0,175.0,457.0,495.0,1071.0,127.0
Waverly,090500,24510090500,2172.0,40222.0,19788.0,348.0,16.0,6.7,912.0,146.0,567.0,143.0,31.4,305.0,1806.0,51.0,0.0,10.0,1013.0,350.0,364.0,490.0,1498.0,184.0
North Ave,090800,24510090800,2750.0,27163.0,15228.0,1009.0,36.7,14.0,910.0,386.0,609.0,109.0,39.9,89.0,2526.0,97.0,59.0,38.0,1435.0,498.0,533.0,479.0,1936.0,335.0
Belair Rd,100200,24510100200,2733.0,14307.0,12318.0,1034.0,37.8,3.7,744.0,101.0,326.0,82.0,30.2,57.0,2665.0,0.0,11.0,0.0,126.0,90.0,1025.0,660.0,1685.0,388.0
Waverly,110100,24510110100,3315.0,47397.0,35129.0,699.0,21.1,3.7,2547.0,124.0,124.0,654.0,29.0,2154.0,615.0,129.0,159.0,340.0,501.0,278.0,1651.0,53.0,3058.0,204.0
Penn Ave,110200,24510110200,5547.0,40925.0,41650.0,1025.0,18.5,1.9,3686.0,104.0,465.0,1279.0,31.8,3428.0,1296.0,94.0,404.0,419.0,799.0,451.0,3276.0,140.0,4670.0,737.0
Park Heights,120100,24510120100,4531.0,62685.0,62457.0,804.0,17.7,2.8,2339.0,129.0,376.0,836.0,40.6,2966.0,455.0,254.0,165.0,747.0,2322.0,1199.0,1237.0,336.0,3113.0,1082.0
Waverly,120201,24510120201,1983.0,65938.0,43663.0,426.0,21.5,3.9,1177.0,77.0,186.0,435.0,31.8,1321.0,343.0,175.0,39.0,125.0,1053.0,516.0,348.0,208.0,1615.0,160.0
Waverly,120202,24510120202,6155.0,35000.0,17204.0,1169.0,19.0,1.4,2302.0,84.0,13.0,748.0,21.6,3589.0,577.0,292.0,387.0,1638.0,730.0,335.0,1437.0,179.0,5794.0,182.0
Waverly,120300,24510120300,3843.0,42093.0,25663.0,1128.0,29.4,7.8,1819.0,301.0,559.0,572.0,31.5,1348.0,1928.0,257.0,136.0,177.0,1320.0,564.0,1050.0,749.0,2836.0,258.0
Penn Ave,120400,24510120400,1786.0,32917.0,20204.0,762.0,42.7,4.4,655.0,79.0,277.0,172.0,28.8,329.0,1428.0,6.0,32.0,13.0,368.0,149.0,496.0,510.0,1138.0,138.0
Penn Ave,120700,24510120700,2341.0,55972.0,29300.0,406.0,17.3,11.3,1253.0,264.0,313.0,410.0,35.5,1425.0,554.0,47.0,85.0,286.0,1143.0,480.0,516.0,342.0,1830.0,169.0
E Monument St,130100,24510130100,2650.0,24838.0,23393.0,892.0,33.7,5.3,1006.0,141.0,508.0,341.0,41.9,382.0,2142.0,57.0,51.0,18.0,785.0,302.0,1135.0,459.0,1874.0,317.0
Penn Ave,130300,24510130300,2159.0,31855.0,17704.0,712.0,33.0,8.8,713.0,190.0,380.0,172.0,35.3,82.0,2032.0,8.0,23.0,37.0,975.0,383.0,453.0,642.0,1283.0,234.0
Brooklyn,130400,24510130400,2352.0,35208.0,17989.0,715.0,30.4,8.6,898.0,202.0,605.0,95.0,32.6,93.0,2138.0,15.0,93.0,1.0,817.0,312.0,531.0,502.0,1615.0,235.0
Hampden,130600,24510130600,3893.0,66385.0,39730.0,404.0,10.4,2.0,2704.0,77.0,279.0,924.0,33.6,3274.0,259.0,99.0,150.0,232.0,2149.0,990.0,765.0,493.0,3132.0,268.0
Hampden,130700,24510130700,4922.0,59300.0,39515.0,277.0,5.6,1.8,2696.0,90.0,568.0,1217.0,37.8,4078.0,331.0,205.0,218.0,293.0,2391.0,1097.0,1335.0,644.0,3078.0,1200.0
Hampden,130804,24510130804,1854.0,60862.0,36725.0,289.0,15.6,6.1,1213.0,114.0,261.0,364.0,32.3,1696.0,126.0,9.0,52.0,14.0,916.0,438.0,432.0,254.0,1480.0,120.0
Penn Ave,140200,24510140200,2592.0,18929.0,12402.0,1467.0,56.6,3.2,716.0,84.0,352.0,140.0,22.4,105.0,2457.0,30.0,21.0,0.0,400.0,110.0,790.0,1164.0,1293.0,135.0
Penn Ave,140300,24510140300,2832.0,23969.0,14857.0,1204.0,42.5,4.9,957.0,139.0,507.0,180.0,32.6,135.0,2579.0,9.0,27.0,71.0,778.0,270.0,761.0,738.0,1834.0,260.0
Penn Ave,150100,24510150100,3098.0,19043.0,14443.0,1466.0,47.3,8.8,783.0,273.0,531.0,57.0,32.5,5.0,3023.0,41.0,0.0,29.0,1206.0,350.0,755.0,849.0,1860.0,389.0
Pigtown,150400,24510150400,4240.0,35980.0,14155.0,593.0,14.0,9.6,1352.0,405.0,797.0,147.0,30.7,52.0,3995.0,142.0,14.0,22.0,1066.0,340.0,805.0,650.0,2975.0,615.0
North Ave,150600,24510150600,2733.0,26455.0,15541.0,799.0,29.2,9.1,930.0,248.0,597.0,87.0,38.9,89.0,2644.0,0.0,0.0,0.0,989.0,310.0,716.0,576.0,1747.0,410.0
North Ave,150702,24510150702,2191.0,38654.0,22118.0,513.0,23.4,6.6,959.0,144.0,395.0,223.0,38.9,25.0,2100.0,48.0,12.0,0.0,1265.0,538.0,350.0,454.0,1417.0,320.0
Penn Ave,150800,24510150800,4371.0,33871.0,23735.0,1108.0,25.3,4.9,1565.0,216.0,1156.0,320.0,38.3,29.0,4194.0,138.0,52.0,0.0,2191.0,774.0,986.0,1023.0,2677.0,671.0
Park Heights,151300,24510151300,4606.0,27835.0,12943.0,2015.0,43.7,7.8,1416.0,361.0,1011.0,140.0,37.3,258.0,4251.0,59.0,178.0,32.0,2015.0,675.0,862.0,1244.0,2946.0,416.0
Penn Ave,160100,24510160100,2351.0,21700.0,17854.0,905.0,38.5,6.8,805.0,160.0,449.0,91.0,45.3,43.0,2113.0,84.0,18.0,22.0,1182.0,379.0,703.0,378.0,1629.0,344.0
Penn Ave,160200,24510160200,2469.0,28409.0,17256.0,732.0,29.6,7.4,941.0,183.0,665.0,52.0,35.8,13.0,2456.0,0.0,3.0,0.0,1220.0,393.0,483.0,672.0,1504.0,293.0
Penn Ave,160400,24510160400,2795.0,25598.0,13523.0,1053.0,37.7,5.6,994.0,157.0,540.0,7.0,29.6,14.0,2732.0,11.0,0.0,6.0,807.0,317.0,480.0,889.0,1625.0,281.0
Pimlico,160600,24510160600,3054.0,31250.0,21044.0,1093.0,35.8,7.2,1069.0,219.0,644.0,153.0,40.5,53.0,2921.0,3.0,91.0,31.0,1311.0,504.0,625.0,665.0,2007.0,382.0
Pigtown,160700,24510160700,4193.0,32064.0,16246.0,1558.0,37.2,8.7,1592.0,366.0,930.0,258.0,30.7,64.0,4078.0,51.0,40.0,0.0,1553.0,633.0,921.0,1077.0,2629.0,487.0
