Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Waverly,170100,24510170100,1594.0,27321.0,24335.0,429.0,26.9,4.0,840.0,63.0,190.0,216.0,39.1,454.0,1051.0,28.0,31.0,14.0,272.0,155.0,829.0,190.0,1230.0,174.0
Penn Ave,170200,24510170200,3001.0,13495.0,10046.0,1560.0,52.0,5.9,709.0,176.0,417.0,101.0,29.0,205.0,2675.0,63.0,6.0,58.0,308.0,70.0,1248.0,856.0,1774.0,371.0
Penn Ave,170300,24510170300,1827.0,23011.0,19244.0,567.0,31.0,9.9,710.0,180.0,242.0,113.0,38.0,22.0,1745.0,18.0,8.0,42.0,720.0,293.0,468.0,411.0,1148.0,268.0
Greektown,180100,24510180100,2280.0,15270.0,7989.0,1336.0,58.6,8.6,524.0,195.0,397.0,7.0,21.8,46.0,2215.0,0.0,55.0,0.0,131.0,80.0,872.0,1004.0,1130.0,146.0
Penn Ave,180200,24510180200,963.0,22981.0,14991.0,339.0,35.2,10.8,313.0,104.0,191.0,53.0,46.8,96.0,822.0,28.0,27.0,17.0,250.0,101.0,290.0,171.0,596.0,196.0
Pigtown,180300,24510180300,1820.0,32917.0,25557.0,658.0,36.2,6.6,1054.0,121.0,321.0,224.0,31.7,644.0,1070.0,55.0,21.0,51.0,411.0,252.0,655.0,241.0,1538.0,41.0
North Ave,190300,24510190300,2372.0,23169.0,17077.0,835.0,35.2,5.8,919.0,137.0,514.0,117.0,33.6,547.0,1532.0,15.0,222.0,106.0,587.0,230.0,643.0,525.0,1679.0,168.0
E Monument St,200300,24510200300,1744.0,22386.0,11402.0,763.0,43.8,7.5,447.0,130.0,306.0,22.0,28.8,219.0,1265.0,99.0,121.0,21.0,324.0,95.0,430.0,655.0,968.0,121.0
Penn Ave,200600,24510200600,2604.0,37218.0,17796.0,726.0,27.9,8.4,1042.0,218.0,567.0,82.0,36.1,863.0,1530.0,205.0,89.0,0.0,1330.0,518.0,339.0,516.0,1714.0,374.0
North Ave,200701,24510200701,5109.0,36750.0,16434.0,1366.0,26.7,11.5,1519.0,588.0,914.0,142.0,39.1,87.0,4869.0,152.0,118.0,0.0,1950.0,821.0,1051.0,1336.0,2985.0,788.0
Irvington,200702,24510200702,1049.0,22083.0,12587.0,415.0,39.6,10.4,304.0,109.0,197.0,21.0,38.6,16.0,1014.0,19.0,0.0,0.0,754.0,290.0,131.0,296.0,557.0,196.0
Irvington,200800,24510200800,2164.0,34886.0,18717.0,563.0,26.0,6.1,838.0,132.0,483.0,119.0,39.9,249.0,1882.0,33.0,41.0,0.0,1210.0,459.0,400.0,539.0,1371.0,254.0
Pigtown,210100,24510210100,2376.0,46250.0,27795.0,647.0,27.2,9.7,1285.0,231.0,287.0,411.0,30.3,745.0,1531.0,28.0,75.0,62.0,835.0,425.0,557.0,418.0,1829.0,129.0
Pigtown,210200,24510210200,2888.0,29653.0,24909.0,969.0,33.6,10.1,1211.0,293.0,485.0,303.0,35.4,1062.0,1658.0,112.0,103.0,56.0,1400.0,625.0,677.0,494.0,2109.0,285.0
Park Heights,230100,24510230100,1850.0,67422.0,39302.0,336.0,18.2,3.2,1114.0,59.0,236.0,443.0,29.0,1053.0,648.0,22.0,55.0,101.0,744.0,295.0,470.0,301.0,1451.0,98.0
Hamilton Lauraville,230200,24510230200,2245.0,103681.0,52858.0,155.0,6.9,2.1,1685.0,47.0,157.0,692.0,29.0,1859.0,236.0,74.0,190.0,67.0,1083.0,501.0,510.0,247.0,1865.0,133.0
Penn Ave,240100,24510240100,3118.0,116848.0,68026.0,152.0,4.9,2.7,2097.0,84.0,206.0,1087.0,34.8,2875.0,70.0,29.0,102.0,95.0,2094.0,1024.0,446.0,435.0,2446.0,237.0
Irvington,240400,24510240400,2985.0,107037.0,50267.0,50.0,1.7,1.5,2146.0,46.0,313.0,899.0,30.8,2701.0,11.0,39.0,187.0,105.0,2071.0,859.0,381.0,349.0,2423.0,213.0
Penn Ave,250102,24510250102,3193.0,38125.0,19391.0,456.0,14.3,7.3,1633.0,232.0,469.0,141.0,30.9,149.0,2979.0,25.0,16.0,40.0,1420.0,635.0,586.0,789.0,2078.0,326.0
Highlandtown,250103,24510250103,3693.0,36017.0,21889.0,637.0,17.2,5.2,1446.0,191.0,794.0,230.0,44.9,2374.0,1044.0,197.0,286.0,7.0,1920.0,754.0,874.0,621.0,2193.0,879.0
Hampden,250203,24510250203,1751.0,32225.0,17160.0,455.0,26.0,2.9,692.0,51.0,296.0,102.0,33.2,253.0,1364.0,42.0,136.0,52.0,377.0,200.0,497.0,505.0,1024.0,222.0
Pigtown,250301,24510250301,2346.0,30625.0,15368.0,787.0,33.5,9.9,726.0,232.0,455.0,71.0,29.7,196.0,2145.0,0.0,33.0,0.0,1176.0,408.0,429.0,777.0,1364.0,205.0
Brooklyn,250401,24510250401,3715.0,41034.0,20545.0,817.0,22.0,7.1,1518.0,264.0,824.0,167.0,37.6,1959.0,1375.0,85.0,488.0,135.0,1958.0,599.0,669.0,893.0,2641.0,181.0
Brooklyn,250402,24510250402,4659.0,32625.0,18407.0,1629.0,35.0,10.9,1851.0,506.0,910.0,119.0,31.1,1277.0,2428.0,274.0,715.0,28.0,1338.0,467.0,1128.0,1453.0,2982.0,224.0
Pimlico,260102,24510260102,4869.0,49228.0,22814.0,561.0,11.5,3.6,2412.0,177.0,1071.0,383.0,39.9,484.0,4229.0,93.0,158.0,63.0,3948.0,1443.0,309.0,1212.0,3082.0,575.0
Irvington,260201,24510260201,5308.0,32458.0,19542.0,898.0,16.9,1.7,2613.0,90.0,1294.0,614.0,36.0,654.0,4280.0,106.0,173.0,152.0,1570.0,611.0,1685.0,978.0,3827.0,503.0
Belair Rd,260301,24510260301,4242.0,35759.0,17469.0,1332.0,31.4,7.1,1638.0,301.0,711.0,297.0,30.9,320.0,3688.0,170.0,22.0,47.0,2387.0,961.0,613.0,1284.0,2622.0,336.0
Belair Rd,260302,24510260302,6353.0,34342.0,18389.0,1743.0,27.4,7.1,2149.0,449.0,1335.0,512.0,36.2,551.0,5698.0,1.0,154.0,0.0,3541.0,1402.0,954.0,1669.0,4001.0,683.0
Hamilton Lauraville,260303,24510260303,890.0,18359.0,16605.0,330.0,37.1,9.4,282.0,84.0,175.0,23.0,34.6,267.0,571.0,22.0,62.0,0.0,295.0,107.0,279.0,203.0,587.0,100.0
Hamilton Lauraville,260401,24510260401,3473.0,32377.0,15179.0,684.0,19.7,7.4,1341.0,256.0,603.0,99.0,32.4,2416.0,353.0,246.0,960.0,46.0,1800.0,697.0,598.0,1071.0,2028.0,374.0
E Monument St,260402,24510260402,2792.0,39393.0,18880.0,686.0,24.6,7.5,1263.0,210.0,456.0,239.0,37.0,114.0,2597.0,57.0,0.0,0.0,1159.0,313.0,824.0,719.0,1761.0,312.0
Highlandtown,260403,24510260403,1743.0,33098.0,20043.0,521.0,29.9,8.3,918.0,145.0,363.0,108.0,29.3,123.0,1588.0,32.0,0.0,0.0,596.0,163.0,566.0,480.0,1172.0,91.0
Greektown,260501,24510260501,5806.0,50280.0,21282.0,626.0,10.8,3.2,2654.0,188.0,986.0,397.0,35.1,4006.0,597.0,139.0,1977.0,100.0,2723.0,1072.0,835.0,1428.0,3558.0,820.0
Pimlico,260605,24510260605,4099.0,37179.0,22146.0,1094.0,26.7,4.5,1522.0,183.0,787.0,260.0,38.1,2535.0,844.0,53.0,1068.0,26.0,2367.0,924.0,796.0,1085.0,2341.0,673.0
Greektown,260700,24510260700,2249.0,43385.0,24350.0,502.0,22.3,1.9,1145.0,42.0,381.0,151.0,31.1,1470.0,77.0,245.0,863.0,67.0,1187.0,475.0,284.0,621.0,1462.0,166.0
Highlandtown,260800,24510260800,2440.0,39750.0,19936.0,655.0,26.8,5.2,1159.0,128.0,332.0,214.0,33.2,1694.0,573.0,66.0,951.0,30.0,773.0,349.0,588.0,546.0,1616.0,278.0
Highlandtown,260900,24510260900,2852.0,86964.0,51751.0,222.0,7.8,2.3,1843.0,65.0,163.0,829.0,32.1,2579.0,136.0,65.0,119.0,65.0,1466.0,674.0,729.0,361.0,2185.0,306.0
Highlandtown,261000,24510261000,3184.0,55455.0,23907.0,588.0,18.5,2.0,1707.0,64.0,305.0,157.0,33.7,1888.0,1034.0,86.0,900.0,0.0,1597.0,543.0,451.0,742.0,2286.0,156.0
Highlandtown,261100,24510261100,1958.0,104091.0,57611.0,202.0,10.3,3.7,1390.0,73.0,142.0,647.0,31.5,1710.0,188.0,18.0,95.0,42.0,1343.0,627.0,279.0,228.0,1601.0,129.0
Hamilton Lauraville,270200,24510270200,1648.0,62891.0,31682.0,159.0,9.6,7.8,894.0,128.0,207.0,296.0,43.7,860.0,616.0,122.0,52.0,6.0,1156.0,482.0,219.0,278.0,1130.0,240.0
Hamilton Lauraville,270301,24510270301,3197.0,70833.0,30984.0,343.0,10.7,4.9,1538.0,156.0,522.0,480.0,45.4,1169.0,1793.0,40.0,192.0,116.0,2377.0,943.0,235.0,551.0,2216.0,430.0
Hamilton Lauraville,270302,24510270302,1926.0,67244.0,28470.0,230.0,11.9,4.5,896.0,87.0,450.0,218.0,44.6,837.0,896.0,44.0,115.0,127.0,1527.0,493.0,172.0,368.0,1303.0,255.0
Hamilton Lauraville,270401,24510270401,6224.0,59053.0,25473.0,896.0,14.4,1.5,3135.0,96.0,1146.0,667.0,38.2,1187.0,4745.0,224.0,113.0,34.0,4674.0,1785.0,450.0,1778.0,3992.0,454.0
Hamilton Lauraville,270402,24510270402,3073.0,70185.0,30471.0,300.0,9.8,4.6,1698.0,140.0,603.0,481.0,36.3,1273.0,1508.0,230.0,59.0,39.0,2775.0,940.0,186.0,636.0,2086.0,351.0
Waverly,270502,24510270502,4151.0,60143.0,35305.0,553.0,13.3,6.8,2268.0,283.0,695.0,580.0,39.4,1611.0,2372.0,111.0,27.0,45.0,3308.0,1278.0,493.0,965.0,2826.0,360.0
Hamilton Lauraville,270600,24510270600,4686.0,58000.0,27892.0,621.0,13.3,5.3,2466.0,247.0,897.0,652.0,40.3,1888.0,2631.0,138.0,37.0,10.0,3853.0,1433.0,377.0,933.0,3130.0,623.0
Pimlico,270702,24510270702,1831.0,39583.0,30888.0,234.0,12.8,5.5,959.0,100.0,377.0,196.0,41.3,589.0,1210.0,19.0,22.0,0.0,821.0,396.0,487.0,377.0,1201.0,253.0
Waverly,270703,24510270703,2650.0,59964.0,30415.0,217.0,8.2,5.1,1561.0,135.0,476.0,570.0,38.5,1681.0,865.0,28.0,111.0,47.0,1729.0,750.0,375.0,438.0,1839.0,373.0
E Monument St,270802,24510270802,5775.0,49273.0,35042.0,919.0,15.9,5.7,2594.0,331.0,1416.0,196.0,37.1,234.0,5331.0,0.0,192.0,37.0,2408.0,890.0,1304.0,1401.0,3683.0,691.0
Penn Ave,270803,24510270803,6950.0,46696.0,22769.0,956.0,13.8,7.4,2927.0,516.0,1264.0,795.0,37.9,535.0,6199.0,50.0,51.0,166.0,3461.0,1078.0,1770.0,1299.0,4474.0,1177.0
Waverly,270804,24510270804,3148.0,48017.0,31621.0,579.0,18.4,5.3,1893.0,168.0,500.0,417.0,36.4,1531.0,1507.0,0.0,278.0,87.0,1208.0,606.0,828.0,658.0,2172.0,318.0
Hampden,270805,24510270805,5299.0,50556.0,26108.0,589.0,11.1,7.4,2296.0,393.0,954.0,602.0,38.0,504.0,4421.0,235.0,175.0,126.0,3469.0,1333.0,661.0,1388.0,3183.0,728.0
Pigtown,270901,24510270901,4074.0,49028.0,25944.0,421.0,10.3,8.7,1919.0,355.0,784.0,256.0,37.1,113.0,3913.0,36.0,81.0,0.0,2238.0,901.0,740.0,802.0,2581.0,691.0
Belair Rd,270902,24510270902,5567.0,61588.0,18761.0,366.0,6.6,5.8,2293.0,324.0,943.0,392.0,24.8,296.0,5054.0,115.0,67.0,79.0,3229.0,1176.0,220.0,950.0,3766.0,851.0
Penn Ave,270903,24510270903,4644.0,43221.0,16374.0,554.0,11.9,5.1,1418.0,236.0,402.0,399.0,21.9,810.0,3461.0,265.0,394.0,70.0,1548.0,686.0,547.0,656.0,3626.0,362.0
Hamilton Lauraville,271002,24510271002,4125.0,34103.0,18360.0,1471.0,35.7,8.9,1362.0,366.0,878.0,282.0,43.1,117.0,3938.0,63.0,80.0,0.0,2239.0,847.0,658.0,954.0,2477.0,694.0
Highlandtown,271101,24510271101,1925.0,44667.0,37297.0,512.0,26.6,3.3,936.0,64.0,226.0,362.0,40.6,975.0,745.0,39.0,20.0,156.0,1000.0,407.0,495.0,322.0,1321.0,282.0
Hampden,271102,24510271102,4431.0,202813.0,31279.0,35.0,0.8,0.4,1047.0,16.0,38.0,292.0,20.6,2959.0,913.0,265.0,230.0,219.0,1167.0,437.0,6.0,321.0,3908.0,202.0
E Monument St,271200,24510271200,6406.0,117258.0,67963.0,382.0,6.0,2.7,3242.0,175.0,358.0,1314.0,42.1,4776.0,966.0,371.0,169.0,207.0,5538.0,1984.0,354.0,1623.0,3794.0,989.0
Greektown,271300,24510271300,2877.0,118281.0,79520.0,176.0,6.1,0.5,1592.0,14.0,76.0,667.0,40.4,2355.0,230.0,92.0,48.0,200.0,1888.0,754.0,438.0,592.0,1774.0,511.0
Hamilton Lauraville,271400,24510271400,3927.0,113011.0,70074.0,341.0,8.7,1.9,1913.0,75.0,168.0,562.0,40.2,3094.0,254.0,142.0,185.0,382.0,2675.0,1027.0,454.0,822.0,2440.0,665.0
Belair Rd,271501,24510271501,4119.0,87688.0,55812.0,329.0,8.0,1.7,2327.0,72.0,164.0,914.0,37.7,3258.0,517.0,75.0,175.0,245.0,2904.0,1111.0,656.0,1043.0,2452.0,624.0
E Monument St,271503,24510271503,922.0,71339.0,73008.0,42.0,4.6,1.1,442.0,10.0,23.0,229.0,65.9,851.0,38.0,6.0,21.0,18.0,820.0,559.0,84.0,64.0,384.0,474.0
Park Heights,271600,24510271600,4681.0,30253.0,17952.0,1581.0,33.8,9.5,1459.0,443.0,1219.0,199.0,38.7,107.0,4477.0,24.0,96.0,0.0,2070.0,618.0,904.0,978.0,3053.0,650.0
Pimlico,271700,24510271700,4887.0,42791.0,21020.0,853.0,17.5,7.4,1967.0,362.0,1518.0,247.0,49.2,187.0,4645.0,26.0,10.0,29.0,2547.0,951.0,881.0,530.0,3185.0,1172.0
Pimlico,271801,24510271801,3219.0,25500.0,21534.0,1083.0,33.6,6.5,1188.0,210.0,628.0,88.0,40.3,58.0,2977.0,122.0,49.0,8.0,1712.0,589.0,671.0,624.0,2031.0,564.0
Pimlico,271802,24510271802,2911.0,28425.0,12596.0,1014.0,34.8,7.6,947.0,220.0,756.0,53.0,41.9,6.0,2864.0,41.0,7.0,0.0,1141.0,395.0,565.0,612.0,1944.0,355.0
Pimlico,271900,24510271900,4072.0,51615.0,27210.0,1050.0,25.8,4.4,1713.0,180.0,650.0,574.0,43.0,1013.0,2883.0,32.0,78.0,50.0,2748.0,1009.0,508.0,803.0,2432.0,837.0
Penn Ave,280101,24510280101,4093.0,39940.0,26115.0,1255.0,30.7,4.3,1605.0,176.0,891.0,252.0,39.1,425.0,3568.0,45.0,144.0,0.0,1947.0,704.0,693.0,967.0,2623.0,503.0
Highlandtown,280102,24510280102,6128.0,43864.0,22109.0,1300.0,21.2,4.3,2192.0,264.0,1154.0,774.0,50.7,206.0,5853.0,0.0,59.0,0.0,3830.0,1375.0,967.0,1074.0,3541.0,1513.0
Waverly,280302,24510280302,2377.0,40212.0,28363.0,587.0,24.7,5.5,1097.0,131.0,482.0,217.0,36.0,127.0,2220.0,18.0,13.0,6.0,771.0,301.0,756.0,615.0,1519.0,243.0
Pimlico,280401,24510280401,3693.0,52176.0,27838.0,444.0,12.0,6.3,1786.0,231.0,690.0,428.0,44.2,500.0,3063.0,124.0,57.0,0.0,2252.0,861.0,631.0,707.0,2442.0,544.0
Pigtown,280402,24510280402,1762.0,40769.0,19575.0,149.0,8.5,8.0,801.0,141.0,374.0,52.0,40.0,15.0,1684.0,10.0,13.0,0.0,1137.0,469.0,211.0,269.0,1117.0,376.0
