Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Pigtown,270901,24510270901,4259.0,51355.0,24956.0,441.0,10.4,5.2,2083.0,222.0,996.0,237.0,35.5,98.0,4088.0,59.0,124.0,0.0,2424.0,893.0,774.0,811.0,2716.0,732.0,2017
Belair Rd,270902,24510270902,5626.0,62946.0,20344.0,394.0,7.0,5.8,2293.0,329.0,1006.0,432.0,25.9,273.0,5126.0,138.0,86.0,44.0,3237.0,1192.0,238.0,826.0,3880.0,920.0,2017
Penn Ave,270903,24510270903,4630.0,44085.0,16917.0,498.0,10.8,4.1,1319.0,188.0,388.0,419.0,21.7,849.0,3421.0,235.0,445.0,84.0,1451.0,706.0,485.0,517.0,3707.0,406.0,2017
Hamilton Lauraville,271002,24510271002,4268.0,38358.0,19826.0,1508.0,35.3,8.3,1468.0,356.0,871.0,375.0,37.8,141.0,4058.0,62.0,84.0,0.0,2496.0,951.0,559.0,1210.0,2305.0,753.0,2017
Highlandtown,271101,24510271101,1986.0,47188.0,36180.0,464.0,23.4,3.1,989.0,62.0,250.0,336.0,39.0,1007.0,668.0,55.0,21.0,222.0,977.0,385.0,493.0,361.0,1349.0,276.0,2017
Hampden,271102,24510271102,4496.0,209167.0,33074.0,36.0,0.8,0.8,1007.0,37.0,63.0,269.0,20.7,2973.0,864.0,326.0,203.0,237.0,1195.0,458.0,8.0,275.0,3982.0,239.0,2017
E Monument St,271200,24510271200,6661.0,135441.0,64262.0,382.0,5.7,2.6,3286.0,172.0,446.0,1337.0,40.8,4842.0,956.0,357.0,282.0,424.0,5744.0,1949.0,327.0,1709.0,3964.0,988.0,2017
Greektown,271300,24510271300,2715.0,145966.0,91179.0,59.0,2.2,0.2,1546.0,6.0,60.0,673.0,40.7,2273.0,161.0,55.0,45.0,211.0,1920.0,718.0,377.0,614.0,1586.0,515.0,2017
Hamilton Lauraville,271400,24510271400,4047.0,119167.0,74115.0,255.0,6.3,2.2,1901.0,90.0,139.0,531.0,38.4,3144.0,261.0,169.0,185.0,428.0,2647.0,947.0,507.0,861.0,2509.0,677.0,2017
Belair Rd,271501,24510271501,4077.0,87422.0,57440.0,263.0,6.5,1.9,2251.0,79.0,133.0,791.0,39.3,3249.0,490.0,67.0,211.0,223.0,2926.0,1096.0,639.0,1065.0,2351.0,661.0,2017
