Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Penn Ave,250102,24510250102,3236.0,42922.0,21193.0,522.0,16.1,5.8,1728.0,189.0,449.0,120.0,33.4,199.0,2990.0,33.0,78.0,14.0,1278.0,519.0,712.0,772.0,2114.0,350.0,2018
Highlandtown,250103,24510250103,3411.0,39412.0,25611.0,661.0,19.4,2.9,1477.0,99.0,861.0,201.0,45.4,1959.0,1133.0,121.0,115.0,145.0,1793.0,739.0,815.0,499.0,2125.0,787.0,2018
Hampden,250203,24510250203,1978.0,37639.0,19929.0,377.0,19.1,2.3,754.0,45.0,409.0,138.0,32.6,265.0,1602.0,0.0,81.0,60.0,485.0,226.0,498.0,621.0,1119.0,238.0,2018
Pigtown,250301,24510250301,2355.0,23452.0,15192.0,931.0,39.5,6.2,640.0,146.0,465.0,39.0,28.5,293.0,2062.0,0.0,146.0,0.0,643.0,254.0,564.0,838.0,1304.0,213.0,2018
Brooklyn,250401,24510250401,3605.0,39747.0,21435.0,935.0,25.9,5.0,1457.0,181.0,763.0,206.0,35.3,2089.0,937.0,124.0,637.0,278.0,1628.0,455.0,702.0,839.0,2447.0,319.0,2018
Brooklyn,250402,24510250402,4451.0,50526.0,22112.0,1175.0,26.4,5.2,1869.0,233.0,1088.0,184.0,33.3,1683.0,1994.0,314.0,631.0,0.0,1808.0,607.0,929.0,1261.0,2956.0,234.0,2018
Pimlico,260102,24510260102,4625.0,55931.0,24767.0,354.0,7.7,4.1,2171.0,191.0,1157.0,303.0,40.0,517.0,4034.0,23.0,76.0,51.0,3569.0,1325.0,288.0,1015.0,3029.0,581.0,2018
Irvington,260201,24510260201,5699.0,36283.0,20067.0,870.0,15.3,1.2,2753.0,68.0,1374.0,600.0,35.9,814.0,4739.0,0.0,44.0,146.0,1714.0,698.0,1609.0,977.0,4134.0,588.0,2018
Belair Rd,260301,24510260301,4880.0,43951.0,16972.0,1630.0,33.4,5.6,1816.0,273.0,782.0,202.0,27.4,290.0,4407.0,160.0,10.0,0.0,2360.0,928.0,645.0,1713.0,2847.0,320.0,2018
Belair Rd,260302,24510260302,6986.0,33920.0,16206.0,2332.0,33.4,7.2,2329.0,506.0,1734.0,570.0,36.3,380.0,6433.0,41.0,186.0,0.0,3735.0,1463.0,1069.0,1821.0,4401.0,764.0,2018
Hamilton Lauraville,260303,24510260303,912.0,17125.0,18026.0,330.0,36.2,5.0,278.0,46.0,197.0,37.0,40.3,232.0,623.0,29.0,38.0,0.0,241.0,104.0,312.0,214.0,624.0,74.0,2018
Hamilton Lauraville,260401,24510260401,3710.0,35750.0,16463.0,910.0,24.5,5.7,1417.0,211.0,674.0,145.0,31.9,2590.0,418.0,212.0,1403.0,83.0,1974.0,695.0,588.0,1307.0,2063.0,340.0,2018
E Monument St,260402,24510260402,3238.0,41113.0,19115.0,826.0,25.5,4.8,1432.0,157.0,628.0,235.0,33.9,135.0,2928.0,103.0,0.0,0.0,1431.0,410.0,817.0,896.0,2080.0,262.0,2018
Highlandtown,260403,24510260403,1681.0,32143.0,21159.0,471.0,28.0,3.2,818.0,53.0,381.0,130.0,27.5,141.0,1540.0,0.0,0.0,0.0,390.0,131.0,567.0,557.0,993.0,131.0,2018
Greektown,260501,24510260501,5509.0,56038.0,23693.0,627.0,11.4,2.4,2763.0,131.0,1073.0,394.0,35.8,3395.0,624.0,265.0,1742.0,166.0,2496.0,1038.0,813.0,1230.0,3365.0,914.0,2018
Pimlico,260605,24510260605,4685.0,42052.0,20386.0,1395.0,29.8,4.9,1720.0,231.0,850.0,245.0,36.1,2985.0,812.0,188.0,1545.0,54.0,2505.0,910.0,798.0,1397.0,2704.0,584.0,2018
Greektown,260700,24510260700,2884.0,59479.0,27921.0,437.0,15.2,1.3,1483.0,38.0,308.0,343.0,31.0,1965.0,68.0,268.0,1295.0,24.0,1252.0,587.0,333.0,821.0,1894.0,169.0,2018
Highlandtown,260800,24510260800,2527.0,41974.0,26514.0,514.0,20.3,1.8,1238.0,46.0,441.0,273.0,34.8,1858.0,448.0,13.0,1129.0,29.0,953.0,426.0,600.0,581.0,1686.0,260.0,2018
Highlandtown,260900,24510260900,3139.0,104342.0,61039.0,226.0,7.2,1.6,2317.0,49.0,259.0,1059.0,32.4,2698.0,254.0,111.0,137.0,66.0,1490.0,680.0,874.0,320.0,2541.0,278.0,2018
Highlandtown,261000,24510261000,2803.0,51908.0,24456.0,1031.0,36.8,2.5,1223.0,70.0,370.0,147.0,33.1,1523.0,931.0,249.0,593.0,0.0,1619.0,581.0,418.0,848.0,1637.0,318.0,2018
Highlandtown,261100,24510261100,1792.0,121000.0,63780.0,136.0,7.6,4.2,1363.0,76.0,140.0,621.0,31.4,1574.0,114.0,37.0,52.0,55.0,1312.0,637.0,207.0,173.0,1518.0,101.0,2018
Hamilton Lauraville,270200,24510270200,1882.0,74236.0,34164.0,157.0,8.3,5.3,1045.0,100.0,226.0,309.0,41.0,947.0,776.0,102.0,65.0,7.0,1377.0,497.0,212.0,394.0,1267.0,221.0,2018
Hamilton Lauraville,270301,24510270301,3173.0,65223.0,30169.0,329.0,10.4,2.9,1484.0,92.0,536.0,544.0,43.0,1113.0,1925.0,35.0,154.0,58.0,2128.0,923.0,224.0,624.0,2057.0,492.0,2018
Hamilton Lauraville,270302,24510270302,1916.0,73967.0,34028.0,307.0,16.0,4.9,925.0,94.0,452.0,170.0,43.6,980.0,840.0,29.0,127.0,5.0,1397.0,480.0,185.0,336.0,1290.0,290.0,2018
Hamilton Lauraville,270401,24510270401,5625.0,65098.0,33153.0,421.0,7.5,1.7,2935.0,97.0,1179.0,655.0,39.0,1692.0,3585.0,321.0,64.0,27.0,4198.0,1606.0,462.0,1450.0,3687.0,488.0,2018
Hamilton Lauraville,270402,24510270402,3611.0,79833.0,27621.0,215.0,6.0,1.9,1691.0,68.0,483.0,469.0,35.5,1204.0,2213.0,130.0,87.0,63.0,3161.0,957.0,187.0,1052.0,2169.0,390.0,2018
Waverly,270502,24510270502,4261.0,69500.0,40502.0,463.0,10.9,5.2,2325.0,221.0,751.0,749.0,43.4,1690.0,2437.0,44.0,48.0,68.0,3258.0,1244.0,566.0,921.0,2822.0,518.0,2018
Hamilton Lauraville,270600,24510270600,4980.0,59375.0,28365.0,598.0,12.0,5.2,2571.0,257.0,911.0,562.0,37.4,1890.0,2950.0,140.0,38.0,0.0,3985.0,1455.0,377.0,1044.0,3275.0,661.0,2018
Pimlico,270702,24510270702,1955.0,53532.0,37004.0,147.0,7.5,5.3,1088.0,103.0,398.0,187.0,41.3,569.0,1300.0,80.0,35.0,6.0,921.0,393.0,509.0,350.0,1360.0,245.0,2018
Waverly,270703,24510270703,2629.0,61199.0,34521.0,247.0,9.4,2.3,1654.0,60.0,457.0,558.0,44.2,1594.0,967.0,4.0,99.0,12.0,1814.0,729.0,374.0,394.0,1944.0,291.0,2018
E Monument St,270802,24510270802,5205.0,50354.0,24120.0,730.0,14.0,4.9,2481.0,255.0,1382.0,289.0,37.9,173.0,4611.0,122.0,263.0,34.0,1858.0,846.0,1326.0,1201.0,3233.0,771.0,2018
Penn Ave,270803,24510270803,6846.0,51510.0,27601.0,396.0,5.8,4.7,2994.0,323.0,1370.0,768.0,38.8,577.0,6057.0,87.0,65.0,82.0,3358.0,1064.0,1865.0,1459.0,4134.0,1253.0,2018
Waverly,270804,24510270804,3109.0,56903.0,39798.0,288.0,9.3,4.7,2155.0,147.0,525.0,405.0,40.6,1506.0,1479.0,32.0,435.0,92.0,1225.0,615.0,829.0,377.0,2352.0,380.0,2018
Hampden,270805,24510270805,5312.0,54139.0,27431.0,643.0,12.1,7.4,2302.0,393.0,1017.0,591.0,38.5,565.0,4425.0,160.0,187.0,78.0,3770.0,1370.0,464.0,1264.0,3227.0,821.0,2018
Pigtown,270901,24510270901,4348.0,52803.0,28756.0,323.0,7.4,4.2,2258.0,181.0,1107.0,194.0,34.4,121.0,4090.0,137.0,130.0,0.0,2458.0,881.0,815.0,835.0,2786.0,727.0,2018
Belair Rd,270902,24510270902,5363.0,57356.0,19651.0,435.0,8.1,5.9,2149.0,319.0,972.0,472.0,26.7,264.0,4790.0,169.0,92.0,37.0,3145.0,1217.0,208.0,769.0,3663.0,931.0,2018
Penn Ave,270903,24510270903,4810.0,48611.0,18188.0,434.0,9.0,3.3,1677.0,160.0,385.0,369.0,22.3,939.0,3510.0,218.0,518.0,100.0,1435.0,681.0,537.0,506.0,3902.0,402.0,2018
Hamilton Lauraville,271002,24510271002,4203.0,37232.0,20695.0,1501.0,35.7,6.6,1395.0,279.0,753.0,386.0,37.8,137.0,3984.0,76.0,97.0,0.0,2741.0,1050.0,464.0,1196.0,2223.0,784.0,2018
Highlandtown,271101,24510271101,2001.0,55820.0,38391.0,394.0,19.7,3.4,998.0,69.0,243.0,331.0,38.7,1056.0,643.0,66.0,22.0,203.0,933.0,366.0,511.0,327.0,1401.0,273.0,2018
Hampden,271102,24510271102,4505.0,213200.0,32299.0,34.0,0.8,1.0,1267.0,43.0,73.0,245.0,20.7,2883.0,929.0,325.0,204.0,264.0,1156.0,442.0,0.0,260.0,3984.0,261.0,2018
E Monument St,271200,24510271200,6434.0,148788.0,70976.0,308.0,4.8,1.4,3281.0,90.0,453.0,1179.0,41.1,5104.0,841.0,112.0,109.0,377.0,5382.0,1839.0,359.0,1662.0,3800.0,972.0,2018
Greektown,271300,24510271300,2575.0,154432.0,92510.0,54.0,2.1,0.4,1470.0,11.0,45.0,660.0,42.8,2233.0,156.0,30.0,70.0,130.0,1923.0,727.0,334.0,577.0,1481.0,517.0,2018
Hamilton Lauraville,271400,24510271400,4040.0,122344.0,66979.0,257.0,6.4,1.6,1911.0,66.0,149.0,575.0,37.2,3147.0,268.0,166.0,286.0,365.0,2583.0,978.0,446.0,870.0,2453.0,717.0,2018
Belair Rd,271501,24510271501,4162.0,100167.0,54731.0,298.0,7.2,2.7,2247.0,112.0,174.0,819.0,38.8,3278.0,604.0,81.0,239.0,146.0,3027.0,1117.0,631.0,1058.0,2424.0,680.0,2018
E Monument St,271503,24510271503,850.0,71875.0,79787.0,45.0,5.3,1.8,405.0,15.0,57.0,272.0,64.0,738.0,34.0,24.0,29.0,35.0,728.0,544.0,100.0,25.0,416.0,409.0,2018
Park Heights,271600,24510271600,4310.0,28133.0,17866.0,1447.0,33.6,8.7,1246.0,374.0,1253.0,210.0,38.6,117.0,4115.0,22.0,40.0,56.0,1752.0,551.0,955.0,844.0,2686.0,780.0,2018
Pimlico,271700,24510271700,4813.0,41891.0,21920.0,868.0,18.0,8.0,1686.0,387.0,1366.0,213.0,50.6,221.0,4523.0,24.0,20.0,45.0,2587.0,849.0,900.0,675.0,2795.0,1343.0,2018
Pimlico,271801,24510271801,2902.0,30462.0,22668.0,914.0,31.5,8.8,1081.0,256.0,721.0,112.0,46.1,37.0,2738.0,49.0,41.0,11.0,1663.0,661.0,571.0,435.0,1735.0,732.0,2018
Pimlico,271802,24510271802,2567.0,29495.0,14449.0,929.0,36.2,3.2,869.0,81.0,738.0,108.0,41.9,15.0,2492.0,41.0,23.0,0.0,846.0,374.0,539.0,597.0,1564.0,406.0,2018
Pimlico,271900,24510271900,3815.0,51736.0,32143.0,612.0,16.0,3.8,1519.0,146.0,717.0,689.0,47.1,950.0,2802.0,10.0,0.0,44.0,2835.0,1036.0,423.0,718.0,2196.0,901.0,2018
Penn Ave,280101,24510280101,3869.0,47440.0,24073.0,1086.0,28.1,5.6,1662.0,215.0,975.0,268.0,37.5,266.0,3496.0,57.0,141.0,19.0,1644.0,627.0,676.0,973.0,2495.0,401.0,2018
Highlandtown,280102,24510280102,6177.0,55243.0,24191.0,869.0,14.1,3.9,2126.0,241.0,1280.0,917.0,51.2,162.0,6015.0,0.0,93.0,0.0,4187.0,1535.0,888.0,1173.0,3562.0,1442.0,2018
Waverly,280302,24510280302,2464.0,43438.0,25487.0,438.0,17.8,4.5,1207.0,112.0,584.0,187.0,31.9,96.0,2193.0,168.0,14.0,7.0,869.0,309.0,690.0,619.0,1578.0,267.0,2018
Pimlico,280401,24510280401,3479.0,46139.0,28736.0,456.0,13.1,3.1,1608.0,107.0,557.0,515.0,46.0,590.0,2722.0,132.0,62.0,16.0,2222.0,923.0,596.0,676.0,2220.0,583.0,2018
Pigtown,280402,24510280402,1634.0,48276.0,22145.0,219.0,13.4,6.9,752.0,113.0,392.0,118.0,41.6,2.0,1567.0,1.0,24.0,0.0,1111.0,446.0,158.0,256.0,1057.0,321.0,2018
Belair Rd,280403,24510280403,5264.0,62945.0,37610.0,294.0,5.6,3.9,2801.0,203.0,874.0,377.0,35.1,1293.0,3848.0,56.0,136.0,37.0,2310.0,881.0,1259.0,1199.0,3409.0,656.0,2018
E Monument St,280404,24510280404,2812.0,37292.0,21545.0,737.0,26.2,4.5,1200.0,127.0,706.0,106.0,31.9,107.0,2551.0,154.0,114.0,0.0,1244.0,390.0,655.0,654.0,1746.0,412.0,2018
Highlandtown,10200,24510010200,2858.0,106250.0,57925.0,133.0,4.7,1.3,2086.0,38.0,185.0,951.0,31.9,2515.0,128.0,72.0,92.0,126.0,2331.0,1118.0,293.0,324.0,2308.0,226.0,2019
Brooklyn,20300,24510020300,3761.0,108026.0,83545.0,342.0,9.1,0.9,2985.0,32.0,180.0,1089.0,34.0,3091.0,138.0,224.0,263.0,308.0,1376.0,697.0,1455.0,214.0,3144.0,403.0,2019
E Monument St,40100,24510040100,5051.0,64016.0,50026.0,626.0,12.4,1.9,3496.0,98.0,188.0,1681.0,30.0,2179.0,1532.0,298.0,501.0,866.0,322.0,230.0,2854.0,437.0,4444.0,170.0,2019
Hamilton Lauraville,40200,24510040200,984.0,43417.0,19148.0,93.0,9.5,1.7,440.0,17.0,45.0,145.0,23.8,440.0,338.0,68.0,34.0,129.0,0.0,0.0,261.0,22.0,943.0,19.0,2019
E Monument St,60200,24510060200,3037.0,69034.0,40668.0,1026.0,33.8,5.1,1516.0,155.0,405.0,477.0,32.5,1469.0,1298.0,84.0,334.0,109.0,1547.0,578.0,505.0,771.0,2116.0,150.0,2019
E Monument St,60300,24510060300,1881.0,72132.0,35568.0,339.0,18.0,3.0,1047.0,56.0,161.0,314.0,31.6,883.0,847.0,66.0,238.0,63.0,854.0,384.0,336.0,414.0,1306.0,161.0,2019
Waverly,60400,24510060400,1561.0,51089.0,36510.0,294.0,18.8,1.0,781.0,15.0,147.0,289.0,31.8,545.0,821.0,77.0,73.0,109.0,418.0,217.0,580.0,239.0,1113.0,209.0,2019
E Monument St,70100,24510070100,2966.0,43327.0,14397.0,1207.0,40.7,5.3,825.0,157.0,526.0,111.0,24.5,210.0,2464.0,16.0,411.0,0.0,1116.0,287.0,486.0,1137.0,1547.0,282.0,2019
E Monument St,70200,24510070200,3696.0,31292.0,16474.0,1575.0,42.6,8.5,1263.0,316.0,722.0,34.0,28.3,91.0,3595.0,0.0,162.0,10.0,1150.0,385.0,707.0,1170.0,2229.0,297.0,2019
E Monument St,70300,24510070300,900.0,36985.0,21494.0,236.0,26.2,8.8,362.0,79.0,302.0,32.0,41.9,42.0,749.0,0.0,87.0,0.0,233.0,88.0,205.0,140.0,647.0,113.0,2019
E Monument St,70400,24510070400,1601.0,24457.0,17842.0,571.0,35.7,7.1,582.0,114.0,307.0,233.0,30.9,147.0,1302.0,8.0,43.0,144.0,187.0,56.0,714.0,278.0,1113.0,210.0,2019
Belair Rd,80101,24510080101,3869.0,66845.0,38210.0,572.0,14.8,2.8,1863.0,108.0,795.0,486.0,35.1,1234.0,2366.0,210.0,96.0,28.0,2214.0,828.0,433.0,1034.0,2522.0,313.0,2019
Belair Rd,80102,24510080102,2159.0,32747.0,13393.0,870.0,40.3,6.3,717.0,135.0,624.0,71.0,36.3,71.0,2065.0,6.0,7.0,17.0,854.0,300.0,391.0,597.0,1397.0,165.0,2019
Hampden,80200,24510080200,1164.0,36375.0,16501.0,240.0,20.6,8.7,363.0,101.0,257.0,40.0,40.7,71.0,1093.0,0.0,0.0,0.0,617.0,202.0,238.0,254.0,684.0,226.0,2019
E Monument St,80301,24510080301,1759.0,31250.0,17093.0,499.0,28.4,7.3,563.0,128.0,380.0,65.0,36.7,45.0,1597.0,0.0,143.0,10.0,828.0,287.0,316.0,463.0,1053.0,243.0,2019
E Monument St,80400,24510080400,1263.0,32772.0,17576.0,485.0,38.4,8.9,477.0,112.0,233.0,160.0,40.6,235.0,1022.0,6.0,107.0,0.0,322.0,125.0,278.0,285.0,859.0,119.0,2019
E Monument St,80800,24510080800,1583.0,53333.0,19845.0,473.0,29.9,3.6,443.0,57.0,279.0,46.0,18.6,76.0,1494.0,13.0,12.0,0.0,331.0,115.0,387.0,782.0,724.0,77.0,2019
E Monument St,90100,24510090100,3758.0,44759.0,24633.0,788.0,21.0,6.4,1771.0,240.0,841.0,179.0,42.4,496.0,3119.0,122.0,86.0,21.0,2168.0,856.0,681.0,764.0,2398.0,596.0,2019
Waverly,90300,24510090300,4476.0,49722.0,28304.0,1022.0,22.8,3.9,2036.0,176.0,480.0,765.0,42.0,1182.0,3143.0,57.0,202.0,78.0,2416.0,1063.0,845.0,883.0,2781.0,812.0,2019
Waverly,90400,24510090400,1520.0,32276.0,16274.0,547.0,36.0,2.8,643.0,43.0,298.0,91.0,36.1,197.0,1187.0,74.0,181.0,1.0,379.0,150.0,475.0,463.0,945.0,112.0,2019
Waverly,90500,24510090500,1747.0,44229.0,22614.0,362.0,20.7,4.8,774.0,84.0,525.0,124.0,40.3,352.0,1177.0,176.0,9.0,42.0,1001.0,369.0,308.0,391.0,1167.0,189.0,2019
North Ave,90800,24510090800,2709.0,30972.0,14907.0,957.0,35.3,9.3,736.0,252.0,511.0,131.0,44.2,63.0,2583.0,53.0,0.0,10.0,1559.0,526.0,410.0,476.0,1719.0,514.0,2019
Belair Rd,100200,24510100200,2858.0,16080.0,11586.0,1178.0,41.2,1.9,666.0,53.0,455.0,39.0,35.6,92.0,2744.0,16.0,32.0,0.0,164.0,89.0,996.0,685.0,1795.0,378.0,2019
Waverly,110100,24510110100,3177.0,55796.0,47902.0,506.0,15.9,1.3,2679.0,42.0,67.0,1124.0,29.7,1752.0,862.0,184.0,121.0,329.0,418.0,293.0,1801.0,63.0,3032.0,82.0,2019
Penn Ave,110200,24510110200,5968.0,49970.0,49286.0,1057.0,17.7,3.2,3993.0,191.0,231.0,1558.0,34.5,3439.0,1509.0,458.0,400.0,327.0,1272.0,634.0,3329.0,170.0,4746.0,1052.0,2019
Park Heights,120100,24510120100,4787.0,64794.0,64601.0,943.0,19.7,4.6,2164.0,218.0,245.0,941.0,39.0,2714.0,546.0,249.0,227.0,1226.0,2462.0,1169.0,1182.0,549.0,3069.0,1169.0,2019
Waverly,120201,24510120201,2227.0,87500.0,49543.0,306.0,13.7,2.4,1366.0,53.0,67.0,516.0,31.4,1623.0,425.0,86.0,71.0,83.0,1215.0,521.0,327.0,312.0,1709.0,206.0,2019
Waverly,120202,24510120202,5272.0,42674.0,19707.0,590.0,11.2,3.7,2155.0,196.0,114.0,808.0,21.0,3001.0,548.0,332.0,412.0,1319.0,655.0,357.0,1165.0,210.0,4863.0,199.0,2019
Waverly,120300,24510120300,4153.0,56750.0,33409.0,822.0,19.8,3.3,2433.0,139.0,337.0,887.0,33.3,1751.0,1924.0,220.0,133.0,171.0,1910.0,669.0,931.0,671.0,3166.0,316.0,2019
Penn Ave,120400,24510120400,1842.0,38445.0,28189.0,596.0,32.4,4.0,862.0,74.0,332.0,245.0,31.4,564.0,1253.0,0.0,71.0,11.0,461.0,185.0,534.0,439.0,1280.0,123.0,2019
Penn Ave,120700,24510120700,2207.0,65365.0,35817.0,202.0,9.2,6.4,1349.0,141.0,546.0,436.0,34.5,1595.0,487.0,35.0,108.0,65.0,1181.0,576.0,446.0,303.0,1747.0,157.0,2019
E Monument St,130100,24510130100,2558.0,22464.0,26976.0,992.0,38.8,0.6,1108.0,15.0,400.0,371.0,39.1,394.0,2039.0,97.0,43.0,2.0,823.0,306.0,1120.0,466.0,1800.0,292.0,2019
Penn Ave,130300,24510130300,2222.0,42642.0,23787.0,618.0,27.8,2.9,842.0,64.0,541.0,167.0,36.1,100.0,2070.0,0.0,16.0,47.0,1029.0,346.0,475.0,574.0,1384.0,264.0,2019
Brooklyn,130400,24510130400,2171.0,28550.0,20855.0,700.0,32.2,4.3,752.0,94.0,585.0,92.0,39.9,177.0,1902.0,11.0,121.0,7.0,962.0,316.0,425.0,470.0,1475.0,226.0,2019
Hampden,130600,24510130600,3614.0,103911.0,56119.0,399.0,11.0,1.4,2681.0,52.0,111.0,1149.0,34.7,3165.0,201.0,96.0,87.0,133.0,2131.0,968.0,691.0,336.0,3047.0,231.0,2019
Hampden,130700,24510130700,4734.0,72404.0,50102.0,369.0,7.8,1.5,2787.0,70.0,642.0,909.0,39.0,4019.0,360.0,132.0,201.0,211.0,2276.0,1087.0,1390.0,531.0,2947.0,1256.0,2019
Hampden,130804,24510130804,1993.0,67500.0,43449.0,234.0,11.7,2.9,1389.0,58.0,186.0,436.0,32.7,1727.0,190.0,14.0,63.0,53.0,1010.0,460.0,486.0,226.0,1607.0,160.0,2019
Penn Ave,140200,24510140200,2906.0,23295.0,13362.0,1713.0,58.9,4.3,896.0,125.0,664.0,97.0,25.8,79.0,2776.0,51.0,0.0,0.0,768.0,181.0,645.0,1134.0,1559.0,213.0,2019
Penn Ave,140300,24510140300,1932.0,37917.0,28251.0,412.0,21.3,2.4,914.0,47.0,334.0,116.0,37.6,121.0,1777.0,34.0,8.0,0.0,686.0,292.0,589.0,384.0,1279.0,269.0,2019
Penn Ave,150100,24510150100,2172.0,17371.0,18530.0,944.0,43.5,6.7,628.0,145.0,592.0,44.0,41.3,86.0,2023.0,42.0,0.0,21.0,1014.0,367.0,610.0,448.0,1315.0,409.0,2019
Pigtown,150400,24510150400,3824.0,31440.0,13692.0,666.0,17.4,5.9,1399.0,226.0,743.0,269.0,33.6,26.0,3579.0,182.0,37.0,30.0,1013.0,384.0,815.0,499.0,2806.0,519.0,2019
North Ave,150600,24510150600,2726.0,27109.0,18155.0,1128.0,41.4,14.2,1043.0,388.0,485.0,33.0,37.0,76.0,2609.0,41.0,9.0,0.0,1191.0,345.0,681.0,505.0,1945.0,276.0,2019
North Ave,150702,24510150702,2139.0,50167.0,27345.0,478.0,22.3,5.7,856.0,121.0,479.0,333.0,41.0,18.0,2039.0,64.0,31.0,0.0,1301.0,557.0,239.0,390.0,1339.0,410.0,2019
Penn Ave,150800,24510150800,4719.0,36446.0,25294.0,1127.0,23.9,5.7,1754.0,268.0,1244.0,372.0,43.3,23.0,4612.0,33.0,59.0,0.0,2854.0,865.0,921.0,872.0,2923.0,924.0,2019
Park Heights,151300,24510151300,4379.0,31885.0,15605.0,1227.0,28.0,5.9,1687.0,257.0,959.0,197.0,40.7,268.0,3754.0,190.0,295.0,31.0,1741.0,550.0,957.0,872.0,2923.0,584.0,2019
Penn Ave,160100,24510160100,1936.0,29375.0,19358.0,558.0,28.8,3.9,781.0,75.0,349.0,89.0,45.9,77.0,1813.0,0.0,25.0,21.0,588.0,200.0,695.0,451.0,1197.0,288.0,2019
Penn Ave,160200,24510160200,2479.0,22881.0,15600.0,1230.0,49.6,6.9,828.0,170.0,563.0,36.0,26.2,56.0,2412.0,6.0,21.0,0.0,788.0,268.0,592.0,879.0,1350.0,250.0,2019
Penn Ave,160400,24510160400,1937.0,23417.0,12725.0,961.0,49.6,5.9,593.0,114.0,315.0,20.0,32.7,29.0,1858.0,24.0,0.0,4.0,693.0,314.0,333.0,712.0,970.0,255.0,2019
Pimlico,160600,24510160600,3266.0,43306.0,18999.0,783.0,24.0,2.7,1307.0,89.0,977.0,164.0,40.3,63.0,3090.0,31.0,59.0,0.0,1700.0,470.0,563.0,747.0,2155.0,364.0,2019
Pigtown,160700,24510160700,4543.0,37870.0,16176.0,1549.0,34.1,11.4,1593.0,520.0,1095.0,258.0,30.8,15.0,4491.0,37.0,16.0,0.0,1611.0,614.0,906.0,1211.0,2862.0,470.0,2019
Waverly,170100,24510170100,1594.0,31088.0,26352.0,352.0,22.1,1.5,876.0,24.0,155.0,185.0,34.4,463.0,1051.0,28.0,63.0,28.0,237.0,136.0,745.0,238.0,1207.0,149.0,2019
Penn Ave,170200,24510170200,2705.0,13841.0,11230.0,1337.0,49.4,3.5,811.0,96.0,597.0,56.0,28.7,214.0,2354.0,91.0,6.0,46.0,265.0,71.0,1230.0,870.0,1460.0,375.0,2019
Penn Ave,170300,24510170300,1767.0,20884.0,22335.0,708.0,40.1,4.8,714.0,85.0,287.0,114.0,39.7,27.0,1646.0,46.0,74.0,3.0,556.0,294.0,515.0,400.0,1103.0,264.0,2019
Greektown,180100,24510180100,2185.0,15195.0,9482.0,1259.0,57.6,6.7,525.0,146.0,567.0,14.0,26.2,5.0,2163.0,0.0,17.0,0.0,124.0,68.0,880.0,841.0,1192.0,152.0,2019
Penn Ave,180200,24510180200,947.0,25398.0,20478.0,307.0,32.4,4.6,367.0,44.0,152.0,77.0,44.6,108.0,816.0,11.0,35.0,12.0,330.0,115.0,262.0,127.0,616.0,204.0,2019
Pigtown,180300,24510180300,1732.0,50761.0,34592.0,421.0,24.3,4.8,1078.0,83.0,357.0,284.0,31.4,789.0,822.0,104.0,58.0,12.0,719.0,306.0,520.0,214.0,1448.0,70.0,2019
North Ave,190300,24510190300,2158.0,17925.0,11154.0,1149.0,53.2,9.0,511.0,195.0,365.0,34.0,30.0,697.0,1311.0,10.0,38.0,101.0,467.0,183.0,542.0,699.0,1255.0,204.0,2019
E Monument St,200300,24510200300,1356.0,20820.0,13159.0,707.0,52.1,8.5,349.0,115.0,285.0,36.0,31.2,316.0,829.0,102.0,67.0,27.0,317.0,114.0,365.0,351.0,930.0,75.0,2019
Penn Ave,200600,24510200600,2311.0,39159.0,19781.0,309.0,13.4,8.4,1009.0,193.0,557.0,72.0,32.9,485.0,1650.0,114.0,146.0,40.0,950.0,394.0,453.0,541.0,1528.0,242.0,2019
North Ave,200701,24510200701,4797.0,39208.0,20051.0,1030.0,21.5,7.2,1876.0,346.0,1024.0,194.0,35.7,99.0,4677.0,15.0,24.0,0.0,2193.0,882.0,916.0,1021.0,2992.0,784.0,2019
Irvington,200702,24510200702,1026.0,44830.0,20681.0,257.0,25.0,2.1,465.0,22.0,233.0,54.0,42.8,7.0,1019.0,0.0,0.0,0.0,514.0,241.0,152.0,255.0,629.0,142.0,2019
Irvington,200800,24510200800,2170.0,48922.0,22176.0,458.0,21.1,3.1,989.0,67.0,353.0,80.0,37.1,133.0,1934.0,40.0,82.0,0.0,1212.0,418.0,366.0,534.0,1377.0,259.0,2019
Pigtown,210100,24510210100,2470.0,72216.0,36449.0,408.0,16.5,4.7,1639.0,116.0,232.0,592.0,32.2,782.0,1584.0,34.0,19.0,70.0,1123.0,533.0,436.0,336.0,1954.0,180.0,2019
Pigtown,210200,24510210200,3529.0,45909.0,29591.0,1139.0,32.3,4.4,1627.0,154.0,503.0,473.0,33.6,1185.0,1764.0,238.0,330.0,94.0,1687.0,702.0,642.0,792.0,2417.0,320.0,2019
Park Heights,230100,24510230100,1872.0,74578.0,43902.0,268.0,14.3,0.2,1185.0,3.0,148.0,451.0,29.0,1035.0,772.0,14.0,54.0,28.0,605.0,282.0,548.0,350.0,1424.0,98.0,2019
